type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,4,1
sway1,1968.0,16.4,40.0,0.3,4,1
xpln1,2155.0,16.4,30.0,0.3,4,1
sway2,2144.0,15.1,40.0,0.55,4,1
xpln2,2190.0,17.3,30.0,0.55,4,1
top,2110.0,21.5,40.0,19.9,4,1
all,2800.0,15.5,20.0,0.0,4,2
sway1,1909.0,16.25,40.0,0.6,4,2
xpln1,2155.0,16.4,30.0,0.6,4,2
sway2,2166.0,18.4,40.0,1.05,4,2
xpln2,2690.0,16.15,25.0,1.05,4,2
top,2110.0,21.5,40.0,39.8,4,2
all,2800.0,15.5,20.0,0.0,4,3
sway1,1961.0,15.5,36.666666666666664,0.9,4,3
xpln1,2181.3333333333335,16.166666666666668,30.0,0.9,4,3
sway2,2055.6666666666665,18.03333333333333,40.0,1.5,4,3
xpln2,2756.6666666666665,15.899999999999999,23.333333333333332,1.5,4,3
top,2110.0,21.5,40.0,59.7,4,3
all,2800.0,15.5,20.0,0.0,4,4
sway1,2020.75,15.225,35.0,1.2,4,4
xpln1,2339.75,16.05,27.5,1.2,4,4
sway2,2063.0,17.299999999999997,40.0,1.95,4,4
xpln2,2626.0,15.849999999999998,25.0,1.95,4,4
top,2110.0,21.5,40.0,79.6,4,4
all,2800.0,15.5,20.0,0.0,4,5
sway1,1985.6,15.24,34.0,1.5,4,5
xpln1,2268.8,16.3,28.0,1.5,4,5
sway2,2088.0,16.859999999999996,38.0,2.4,4,5
xpln2,2547.6,15.819999999999999,26.0,2.4,4,5
top,2110.0,21.5,40.0,99.5,4,5
all,2800.0,15.5,20.0,0.0,4,6
sway1,1991.1666666666667,15.533333333333333,35.0,1.8,4,6
xpln1,2219.8333333333335,16.583333333333332,28.333333333333332,1.8,4,6
sway2,2156.6666666666665,16.566666666666663,38.333333333333336,2.95,4,6
xpln2,2629.5,15.766666666666666,25.0,2.95,4,6
top,2110.0,21.5,40.0,119.4,4,6
all,2800.0,15.5,20.0,0.0,4,7
sway1,1996.0,15.914285714285715,34.285714285714285,2.1,4,7
xpln1,2210.5714285714284,16.557142857142857,28.571428571428573,2.1,4,7
sway2,2146.4285714285716,16.457142857142852,38.57142857142857,3.6,4,7
xpln2,2684.1428571428573,15.728571428571428,24.285714285714285,3.6,4,7
top,2110.0,21.5,40.0,139.3,4,7
all,2800.0,15.5,20.0,0.0,4,8
sway1,1993.375,15.9375,35.0,2.4,4,8
xpln1,2182.375,16.650000000000002,28.75,2.4,4,8
sway2,2107.5,16.312499999999996,38.75,4.05,4,8
xpln2,2722.375,15.6875,23.75,4.05,4,8
top,2110.0,21.5,40.0,159.2,4,8
all,2800.0,15.5,20.0,0.0,4,9
sway1,1994.111111111111,15.88888888888889,34.44444444444444,2.7,4,9
xpln1,2161.5555555555557,16.67777777777778,28.88888888888889,2.7,4,9
sway2,2077.222222222222,16.255555555555553,37.77777777777778,4.55,4,9
xpln2,2752.1111111111113,15.655555555555557,23.333333333333332,4.55,4,9
top,2110.0,21.5,40.0,179.1,4,9
all,2800.0,15.5,20.0,0.0,4,10
sway1,1992.2,16.1,34.0,3.0,4,10
xpln1,2160.9,16.650000000000002,29.0,3.0,4,10
sway2,2054.0,16.21,37.0,5.15,4,10
xpln2,2765.9,15.63,23.0,5.15,4,10
top,2110.0,21.5,40.0,199.0,4,10
all,2800.0,15.5,20.0,0.0,4,11
sway1,1990.6363636363637,16.10909090909091,34.54545454545455,3.3,4,11
xpln1,2144.909090909091,16.672727272727276,29.09090909090909,3.3,4,11
sway2,2035.0,16.12727272727273,37.27272727272727,5.65,4,11
xpln2,2786.2727272727275,15.609090909090911,22.727272727272727,5.65,4,11
top,2110.0,21.5,40.0,218.9,4,11
all,2800.0,15.5,20.0,0.0,4,12
sway1,1997.25,16.15,34.166666666666664,3.6,4,12
xpln1,2145.75,16.650000000000002,29.166666666666668,3.6,4,12
sway2,2044.0833333333333,16.058333333333334,36.666666666666664,6.15,4,12
xpln2,2803.25,15.591666666666669,22.5,6.15,4,12
top,2110.0,21.5,40.0,238.8,4,12
all,2800.0,15.5,20.0,0.0,4,13
sway1,1995.1538461538462,16.115384615384613,33.84615384615385,3.9,4,13
xpln1,2144.923076923077,16.60769230769231,29.23076923076923,3.9,4,13
sway2,2055.153846153846,16.492307692307694,36.92307692307692,6.6,4,13
xpln2,2817.6153846153848,15.576923076923078,22.307692307692307,6.6,4,13
top,2110.0,21.5,40.0,258.7,4,13
all,2800.0,15.5,20.0,0.0,4,14
sway1,1994.4285714285713,16.02857142857143,33.57142857142857,4.2,4,14
xpln1,2151.285714285714,16.542857142857144,29.285714285714285,4.2,4,14
sway2,2057.285714285714,16.55,37.142857142857146,7.1,4,14
xpln2,2844.214285714286,15.535714285714288,22.142857142857142,7.1,4,14
top,2110.0,21.5,40.0,278.6,4,14
all,2800.0,15.5,20.0,0.0,4,15
sway1,2007.3333333333333,16.013333333333332,33.333333333333336,4.5,4,15
xpln1,2156.8,16.486666666666668,29.333333333333332,4.5,4,15
sway2,2043.1333333333334,16.453333333333333,36.666666666666664,7.75,4,15
xpln2,2867.266666666667,15.500000000000002,22.0,7.75,4,15
top,2110.0,21.5,40.0,298.5,4,15
all,2800.0,15.5,20.0,0.0,4,16
sway1,2008.0625,16.037499999999998,33.75,4.8,4,16
xpln1,2192.0,16.425,29.375,4.8,4,16
sway2,2045.75,16.50625,36.875,8.25,4,16
xpln2,2827.6875,15.512500000000001,22.5,8.25,4,16
top,2110.0,21.5,40.0,318.4,4,16
all,2800.0,15.5,20.0,0.0,4,17
sway1,2008.7058823529412,16.14705882352941,34.11764705882353,5.1,4,17
xpln1,2189.823529411765,16.423529411764704,29.41176470588235,5.1,4,17
sway2,2048.0588235294117,16.464705882352945,37.05882352941177,8.8,4,17
xpln2,2849.0,15.482352941176472,22.352941176470587,8.8,4,17
top,2110.0,21.5,40.0,338.3,4,17
all,2800.0,15.5,20.0,0.0,4,18
sway1,2009.611111111111,16.055555555555554,34.44444444444444,5.4,4,18
xpln1,2178.4444444444443,16.41111111111111,29.444444444444443,5.4,4,18
sway2,2064.0,16.388888888888893,37.22222222222222,9.45,4,18
xpln2,2858.0555555555557,15.47777777777778,22.22222222222222,9.45,4,18
top,2110.0,21.5,40.0,358.2,4,18
all,2800.0,15.5,20.0,0.0,4,19
sway1,2040.6842105263158,15.926315789473682,33.68421052631579,5.7,4,19
xpln1,2181.3684210526317,16.373684210526314,29.473684210526315,5.7,4,19
sway2,2052.4736842105262,16.32105263157895,37.36842105263158,10.0,4,19
xpln2,2875.5263157894738,15.45263157894737,22.105263157894736,10.0,4,19
top,2110.0,21.5,40.0,378.1,4,19
all,2800.0,15.5,20.0,0.0,4,20
sway1,2038.4,15.939999999999998,34.0,6.0,4,20
xpln1,2180.05,16.374999999999996,29.5,6.0,4,20
sway2,2057.05,16.240000000000002,37.5,10.45,4,20
xpln2,2891.25,15.430000000000001,22.0,10.45,4,20
top,2110.0,21.5,40.0,398.0,4,20
