type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,2,1
sway1,1800.0,16.4,40.0,0.3,2,1
xpln1,2155.0,16.4,30.0,0.3,2,1
sway2,2500.0,15.1,30.0,0.6,2,1
xpln2,3012.0,15.4,20.0,0.6,2,1
top,2130.0,23.7,40.0,19.9,2,1
all,2800.0,15.5,20.0,0.0,2,2
sway1,1837.5,16.4,40.0,0.6,2,2
xpln1,2760.0,15.7,25.0,0.6,2,2
sway2,2875.0,18.45,30.0,1.2,2,2
xpln2,2806.0,15.5,25.0,1.2,2,2
top,2130.0,23.7,40.0,39.8,2,2
all,2800.0,15.5,20.0,0.0,2,3
sway1,1833.3333333333333,16.7,40.0,0.9,2,3
xpln1,2490.0,16.099999999999998,26.666666666666668,0.9,2,3
sway2,2531.6666666666665,17.400000000000002,30.0,1.8,2,3
xpln2,2615.3333333333335,15.566666666666668,26.666666666666668,1.8,2,3
top,2130.0,23.7,40.0,59.7,2,3
all,2800.0,15.5,20.0,0.0,2,4
sway1,2028.75,16.224999999999998,37.5,1.2,2,4
xpln1,2455.0,15.95,27.5,1.2,2,4
sway2,2434.75,16.725,30.0,2.4,2,4
xpln2,2714.5,15.525,25.0,2.4,2,4
top,2130.0,23.7,40.0,79.6,2,4
all,2800.0,15.5,20.0,0.0,2,5
sway1,2044.6,16.08,34.0,1.5,2,5
xpln1,2410.8,15.9,28.0,1.5,2,5
sway2,2385.4,16.54,30.0,3.0,2,5
xpln2,2609.6,15.88,26.0,3.0,2,5
top,2130.0,23.7,40.0,99.5,2,5
all,2800.0,15.5,20.0,0.0,2,6
sway1,2041.3333333333333,15.799999999999999,33.333333333333336,1.8,2,6
xpln1,2350.8333333333335,16.0,28.333333333333332,1.8,2,6
sway2,2529.5,17.416666666666668,30.0,3.6,2,6
xpln2,2706.3333333333335,15.733333333333334,25.0,3.6,2,6
top,2130.0,23.7,40.0,119.4,2,6
all,2800.0,15.5,20.0,0.0,2,7
sway1,2013.2857142857142,15.642857142857142,32.857142857142854,2.1,2,7
xpln1,2388.5714285714284,15.971428571428572,28.571428571428573,2.1,2,7
sway2,2501.714285714286,17.085714285714285,31.428571428571427,4.2,2,7
xpln2,2750.0,15.685714285714287,24.285714285714285,4.2,2,7
top,2130.0,23.699999999999996,40.0,139.3,2,7
all,2800.0,15.5,20.0,0.0,2,8
sway1,1981.625,15.7,33.75,2.4,2,8
xpln1,2336.875,16.225,28.75,2.4,2,8
sway2,2418.375,16.8375,32.5,4.8,2,8
xpln2,2805.0,15.600000000000001,23.75,4.8,2,8
top,2130.0,23.699999999999996,40.0,159.2,2,8
all,2800.0,15.5,20.0,0.0,2,9
sway1,2000.888888888889,15.777777777777779,33.333333333333336,2.7,2,9
xpln1,2297.777777777778,16.244444444444447,28.88888888888889,2.7,2,9
sway2,2353.5555555555557,16.88888888888889,33.333333333333336,5.4,2,9
xpln2,2712.777777777778,15.755555555555556,24.444444444444443,5.4,2,9
top,2130.0,23.699999999999996,40.0,179.1,2,9
all,2800.0,15.5,20.0,0.0,2,10
sway1,1994.5,15.6,33.0,3.0,2,10
