type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
xpln1,2291.4,16.19,29.0,3.0,2,10
sway2,2326.7,16.669999999999998,34.0,6.0,2,10
xpln2,2641.0,15.870000000000001,25.0,6.0,2,10
top,2130.0,23.699999999999996,40.0,199.0,2,10
all,2800.0,15.5,20.0,0.0,2,11
sway1,1993.6363636363637,15.318181818181818,31.818181818181817,3.3,2,11
xpln1,2250.0,16.21818181818182,29.09090909090909,3.3,2,11
sway2,2342.4545454545455,16.527272727272727,33.63636363636363,6.65,2,11
xpln2,2619.5454545454545,15.836363636363638,25.454545454545453,6.65,2,11
top,2130.0,23.699999999999992,40.0,218.9,2,11
all,2800.0,15.5,20.0,0.0,2,12
sway1,2018.3333333333333,15.441666666666668,31.666666666666668,3.6,2,12
xpln1,2232.9166666666665,16.283333333333335,29.166666666666668,3.6,2,12
sway2,2300.1666666666665,16.591666666666665,34.166666666666664,7.3,2,12
xpln2,2565.8333333333335,15.933333333333335,25.833333333333332,7.3,2,12
top,2130.0,23.699999999999992,40.0,238.8,2,12
all,2800.0,15.5,20.0,0.0,2,13
sway1,2022.6153846153845,15.63846153846154,31.53846153846154,3.9,2,13
xpln1,2233.0,16.23846153846154,29.23076923076923,3.9,2,13
sway2,2283.6153846153848,16.446153846153845,34.61538461538461,7.9,2,13
xpln2,2602.230769230769,15.900000000000002,25.384615384615383,7.9,2,13
top,2130.0,23.699999999999992,40.0,258.7,2,13
all,2800.0,15.5,20.0,0.0,2,14
sway1,2018.7142857142858,15.692857142857145,32.142857142857146,4.2,2,14
xpln1,2215.285714285714,16.314285714285713,29.285714285714285,4.2,2,14
sway2,2251.5714285714284,16.4,34.285714285714285,8.5,2,14
xpln2,2644.214285714286,15.835714285714287,25.0,8.5,2,14
top,2130.0,23.699999999999992,40.0,278.6,2,14
all,2800.0,15.5,20.0,0.0,2,15
sway1,2025.6666666666667,15.580000000000002,31.333333333333332,4.5,2,15
xpln1,2216.5333333333333,16.273333333333333,29.333333333333332,4.5,2,15
sway2,2223.8,16.46,34.666666666666664,9.1,2,15
xpln2,2668.733333333333,15.806666666666668,24.666666666666668,9.1,2,15
top,2130.0,23.699999999999992,40.0,298.5,2,15
all,2800.0,15.5,20.0,0.0,2,16
sway1,2039.4375,15.481250000000001,30.625,4.8,2,16
xpln1,2216.6875,16.225,29.375,4.8,2,16
sway2,2241.0625,16.375,34.375,9.7,2,16
xpln2,2701.3125,15.756250000000001,24.375,9.7,2,16
top,2130.0,23.699999999999992,40.0,318.4,2,16
all,2800.0,15.5,20.0,0.0,2,17
sway1,2028.0,15.405882352941179,30.58823529411765,5.1,2,17
xpln1,2223.3529411764707,16.064705882352943,28.823529411764707,5.1,2,17
sway2,2217.764705882353,16.311764705882354,34.11764705882353,10.3,2,17
xpln2,2730.0588235294117,15.711764705882354,24.11764705882353,10.3,2,17
top,2130.0,23.699999999999992,40.0,338.3,2,17
all,2800.0,15.5,20.0,0.0,2,18
sway1,2024.7777777777778,15.52777777777778,30.555555555555557,5.4,2,18
xpln1,2217.0555555555557,16.06666666666667,28.88888888888889,5.4,2,18
sway2,2196.5,16.366666666666667,34.44444444444444,10.9,2,18
xpln2,2688.1111111111113,15.783333333333335,24.444444444444443,10.9,2,18
top,2130.0,23.699999999999992,40.0,358.2,2,18
all,2800.0,15.5,20.0,0.0,2,19
sway1,2003.1052631578948,15.578947368421055,30.526315789473685,5.7,2,19
xpln1,2212.4736842105262,15.984210526315792,28.94736842105263,5.7,2,19
sway2,2177.4736842105262,16.415789473684214,34.73684210526316,11.45,2,19
xpln2,2650.5789473684213,15.847368421052632,24.736842105263158,11.45,2,19
top,2130.0,23.699999999999992,40.0,378.1,2,19
all,2800.0,15.5,20.0,0.0,2,20
sway1,2032.95,15.440000000000003,30.0,6.0,2,20
xpln1,2226.85,15.960000000000003,29.0,6.0,2,20
sway2,2231.1,16.685000000000002,34.5,12.05,2,20
xpln2,2651.3,15.905000000000001,25.0,12.05,2,20
top,2130.0,23.699999999999992,40.0,398.0,2,20
