type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,6,14
sway1,2051.5,16.57857142857143,30.0,4.2,6,14
xpln1,2320.1428571428573,15.821428571428571,28.571428571428573,4.2,6,14
sway2,2053.214285714286,15.928571428571432,35.714285714285715,5.1,6,14
xpln2,2644.3571428571427,15.728571428571431,26.428571428571427,5.1,6,14
top,2085.0,21.5,40.0,278.6,6,14
all,2800.0,15.5,20.0,0.0,6,15
sway1,2062.6666666666665,16.473333333333333,30.0,4.5,6,15
xpln1,2315.2,15.8,28.0,4.5,6,15
sway2,2059.266666666667,15.84666666666667,36.0,5.45,6,15
xpln2,2617.0,15.726666666666668,26.666666666666668,5.45,6,15
top,2085.0,21.5,40.0,298.5,6,15
all,2800.0,15.5,20.0,0.0,6,16
sway1,2071.875,16.49375,30.0,4.8,6,16
xpln1,2302.375,15.81875,28.125,4.8,6,16
sway2,2060.875,16.212500000000002,36.25,5.8,6,16
xpln2,2590.3125,15.825000000000003,26.875,5.8,6,16
top,2085.0,21.5,40.0,318.4,6,16
all,2800.0,15.5,20.0,0.0,6,17
sway1,2078.705882352941,16.45294117647059,30.0,5.1,6,17
xpln1,2297.470588235294,15.8,28.235294117647058,5.1,6,17
sway2,2062.294117647059,16.18823529411765,36.470588235294116,6.2,6,17
xpln2,2613.823529411765,15.8,26.470588235294116,6.2,6,17
top,2085.0,21.5,40.0,338.3,6,17
all,2800.0,15.5,20.0,0.0,6,18
sway1,2072.3888888888887,16.41111111111111,30.0,5.4,6,18
xpln1,2290.4444444444443,15.833333333333334,28.333333333333332,5.4,6,18
sway2,2069.277777777778,16.16666666666667,36.111111111111114,6.6,6,18
xpln2,2590.1666666666665,15.883333333333335,27.22222222222222,6.6,6,18
top,2085.0,21.5,40.0,358.2,6,18
all,2800.0,15.5,20.0,0.0,6,19
sway1,2075.157894736842,16.321052631578947,30.0,5.7,6,19
xpln1,2304.4210526315787,15.842105263157896,28.42105263157895,5.7,6,19
sway2,2070.1052631578946,16.11052631578948,36.31578947368421,7.0,6,19
xpln2,2611.2105263157896,15.857894736842105,26.842105263157894,7.0,6,19
top,2085.0,21.5,40.0,378.1,6,19
all,2800.0,15.5,20.0,0.0,6,20
sway1,2070.9,16.345,30.0,6.0,6,20
xpln1,2288.7,15.89,28.5,6.0,6,20
sway2,2058.85,16.095000000000006,36.5,7.35,6,20
xpln2,2640.15,15.815000000000001,26.5,7.35,6,20
top,2085.0,21.5,40.0,398.0,6,20
