type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,6,1
sway1,1975.0,16.4,40.0,0.3,6,1
xpln1,2155.0,16.4,30.0,0.3,6,1
sway2,2085.0,15.8,40.0,0.35,6,1
xpln2,3012.0,15.4,20.0,0.35,6,1
top,2085.0,21.5,40.0,19.9,6,1
all,2800.0,15.5,20.0,0.0,6,2
sway1,1794.0,17.2,35.0,0.6,6,2
xpln1,2802.0,14.45,25.0,0.6,6,2
sway2,1965.0,15.55,35.0,0.75,6,2
xpln2,3001.0,15.4,20.0,0.75,6,2
top,2085.0,21.5,40.0,39.8,6,2
all,2800.0,15.5,20.0,0.0,6,3
sway1,1912.6666666666667,16.433333333333334,33.333333333333336,0.9,6,3
xpln1,2806.3333333333335,14.866666666666665,23.333333333333332,0.9,6,3
sway2,1925.0,15.466666666666669,33.333333333333336,1.1,6,3
xpln2,2745.3333333333335,15.5,23.333333333333332,1.1,6,3
top,2085.0,21.5,40.0,59.7,6,3
all,2800.0,15.5,20.0,0.0,6,4
sway1,1925.25,16.2,32.5,1.2,6,4
xpln1,2663.25,15.075,25.0,1.2,6,4
sway2,1905.0,15.425,35.0,1.45,6,4
xpln2,2617.5,15.55,25.0,1.45,6,4
top,2085.0,21.5,40.0,79.6,6,4
all,2800.0,15.5,20.0,0.0,6,5
sway1,1930.2,16.86,32.0,1.5,6,5
xpln1,2577.4,15.2,26.0,1.5,6,5
sway2,1893.0,15.8,36.0,1.8,6,5
xpln2,2531.6,15.9,28.0,1.8,6,5
top,2085.0,21.5,40.0,99.5,6,5
all,2800.0,15.5,20.0,0.0,6,6
sway1,2004.3333333333333,16.466666666666665,30.0,1.8,6,6
xpln1,2520.1666666666665,15.283333333333333,26.666666666666668,1.8,6,6
sway2,1934.8333333333333,15.683333333333332,36.666666666666664,2.15,6,6
xpln2,2611.6666666666665,15.816666666666668,26.666666666666668,2.15,6,6
top,2085.0,21.5,40.0,119.4,6,6
all,2800.0,15.5,20.0,0.0,6,7
sway1,2019.142857142857,16.32857142857143,28.571428571428573,2.1,6,7
xpln1,2479.285714285714,15.342857142857143,27.142857142857142,2.1,6,7
sway2,1956.2857142857142,15.7,35.714285714285715,2.5,6,7
xpln2,2665.714285714286,15.757142857142858,25.714285714285715,2.5,6,7
top,2085.0,21.5,40.0,139.3,6,7
all,2800.0,15.5,20.0,0.0,6,8
sway1,2043.0,16.0875,28.75,2.4,6,8
xpln1,2438.75,15.475000000000001,27.5,2.4,6,8
sway2,1972.375,15.899999999999999,36.25,2.85,6,8
xpln2,2611.75,15.750000000000002,26.25,2.85,6,8
top,2085.0,21.5,40.0,159.2,6,8
all,2800.0,15.5,20.0,0.0,6,9
sway1,2050.4444444444443,15.988888888888887,28.88888888888889,2.7,6,9
xpln1,2407.222222222222,15.57777777777778,27.77777777777778,2.7,6,9
sway2,1996.3333333333333,15.88888888888889,35.55555555555556,3.2,6,9
xpln2,2569.777777777778,15.744444444444447,26.666666666666668,3.2,6,9
top,2085.0,21.5,40.0,179.1,6,9
all,2800.0,15.5,20.0,0.0,6,10
sway1,2020.9,16.08,30.0,3.0,6,10
xpln1,2382.0,15.660000000000002,28.0,3.0,6,10
sway2,2030.2,15.88,36.0,3.6,6,10
xpln2,2546.3,15.750000000000004,27.0,3.6,6,10
top,2085.0,21.5,40.0,199.0,6,10
all,2800.0,15.5,20.0,0.0,6,11
sway1,2036.090909090909,16.472727272727273,30.0,3.3,6,11
xpln1,2367.181818181818,15.645454545454548,28.181818181818183,3.3,6,11
sway2,2035.1818181818182,15.872727272727275,35.45454545454545,4.0,6,11
xpln2,2604.818181818182,15.681818181818185,26.363636363636363,4.0,6,11
top,2085.0,21.5,40.0,218.9,6,11
all,2800.0,15.5,20.0,0.0,6,12
sway1,2038.9166666666667,16.591666666666665,30.833333333333332,3.6,6,12
xpln1,2334.5,15.841666666666669,28.333333333333332,3.6,6,12
sway2,2039.3333333333333,15.825000000000003,35.833333333333336,4.35,6,12
xpln2,2570.0833333333335,15.81666666666667,27.5,4.35,6,12
top,2085.0,21.5,40.0,238.8,6,12
all,2800.0,15.5,20.0,0.0,6,13
sway1,2055.4615384615386,16.661538461538463,30.0,3.9,6,13
xpln1,2326.769230769231,15.830769230769231,28.46153846153846,3.9,6,13
sway2,2050.769230769231,15.823076923076927,35.38461538461539,4.7,6,13
xpln2,2602.3846153846152,15.784615384615389,26.923076923076923,4.7,6,13
top,2085.0,21.5,40.0,258.7,6,13
