type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
xpln1,2123.4117647058824,16.8,29.41176470588235,5.1,10,17
sway2,2110.0,17.900000000000002,50.0,2.55,10,17
xpln2,2155.0,16.400000000000002,30.0,2.55,10,17
top,2130.0,24.600000000000005,40.0,338.3,10,17
all,2800.0,15.5,20.0,0.0,10,18
sway1,1897.2222222222222,19.06111111111111,37.77777777777778,5.4,10,18
xpln1,2115.1666666666665,16.866666666666667,29.444444444444443,5.4,10,18
sway2,2110.0,17.9,50.0,2.7,10,18
xpln2,2155.0,16.4,30.0,2.7,10,18
top,2130.0,24.60000000000001,40.0,358.2,10,18
all,2800.0,15.5,20.0,0.0,10,19
sway1,1903.9473684210527,19.015789473684208,37.89473684210526,5.7,10,19
xpln1,2111.4736842105262,16.88947368421053,30.0,5.7,10,19
sway2,2110.0,17.9,50.0,2.85,10,19
xpln2,2155.0,16.4,30.0,2.85,10,19
top,2130.0,24.60000000000001,40.0,378.1,10,19
all,2800.0,15.5,20.0,0.0,10,20
sway1,1900.55,19.115,37.5,6.0,10,20
xpln1,2169.8,16.745,29.5,6.0,10,20
sway2,2110.0,17.9,50.0,3.0,10,20
xpln2,2155.0,16.4,30.0,3.0,10,20
top,2130.0,24.60000000000001,40.0,398.0,10,20
