type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,8,1
sway1,1985.0,16.4,40.0,0.3,8,1
xpln1,2155.0,16.4,30.0,0.3,8,1
sway2,1970.0,14.5,40.0,0.2,8,1
xpln2,2065.0,16.1,30.0,0.2,8,1
top,1985.0,19.4,40.0,19.9,8,1
all,2800.0,15.5,20.0,0.0,8,2
sway1,2157.5,15.95,30.0,0.6,8,2
xpln1,2155.0,16.4,30.0,0.6,8,2
sway2,2065.0,15.7,35.0,0.4,8,2
xpln2,2045.0,16.15,30.0,0.4,8,2
top,1985.0,19.4,40.0,39.8,8,2
all,2800.0,15.5,20.0,0.0,8,3
sway1,2193.3333333333335,15.799999999999999,26.666666666666668,0.9,8,3
xpln1,2181.3333333333335,16.166666666666668,30.0,0.9,8,3
sway2,2041.6666666666667,15.699999999999998,33.333333333333336,0.6,8,3
xpln2,2051.6666666666665,16.133333333333333,30.0,0.6,8,3
top,1985.0,19.4,40.0,59.7,8,3
all,2800.0,15.5,20.0,0.0,8,4
sway1,2211.25,15.95,27.5,1.2,8,4
xpln1,2174.75,16.225,30.0,1.2,8,4
sway2,2030.0,15.399999999999999,32.5,0.8,8,4
xpln2,2055.0,16.125,30.0,0.8,8,4
top,1985.0,19.4,40.0,79.6,8,4
all,2800.0,15.5,20.0,0.0,8,5
sway1,2212.8,15.86,28.0,1.5,8,5
xpln1,2186.6,16.12,30.0,1.5,8,5
sway2,2029.0,15.559999999999999,34.0,1.0,8,5
xpln2,2057.0,16.119999999999997,30.0,1.0,8,5
top,1985.0,19.4,40.0,99.5,8,5
all,2800.0,15.5,20.0,0.0,8,6
sway1,2216.3333333333335,15.633333333333333,28.333333333333332,1.8,8,6
xpln1,2194.5,16.05,30.0,1.8,8,6
sway2,2028.3333333333333,15.666666666666666,35.0,1.2,8,6
xpln2,2051.6666666666665,16.133333333333333,30.0,1.2,8,6
top,1985.0,19.400000000000002,40.0,119.4,8,6
all,2800.0,15.5,20.0,0.0,8,7
sway1,2192.5714285714284,15.700000000000001,28.571428571428573,2.1,8,7
xpln1,2188.8571428571427,16.1,30.0,2.1,8,7
sway2,2023.5714285714287,15.842857142857143,34.285714285714285,1.4,8,7
xpln2,2053.5714285714284,16.12857142857143,30.0,1.4,8,7
top,1985.0,19.400000000000002,40.0,139.3,8,7
all,2800.0,15.5,20.0,0.0,8,8
sway1,2244.125,16.1625,28.75,2.4,8,8
xpln1,2214.625,16.1125,30.0,2.4,8,8
sway2,2020.0,15.825000000000001,35.0,1.6,8,8
xpln2,2055.0,16.125,30.0,1.6,8,8
top,1985.0,19.400000000000002,40.0,159.2,8,8
all,2800.0,15.5,20.0,0.0,8,9
sway1,2215.3333333333335,16.055555555555557,28.88888888888889,2.7,8,9
xpln1,2208.0,16.144444444444446,30.0,2.7,8,9
sway2,2035.5555555555557,15.811111111111112,34.44444444444444,1.8,8,9
xpln2,2056.1111111111113,16.12222222222222,30.0,1.8,8,9
top,1985.0,19.400000000000002,40.0,179.1,8,9
all,2800.0,15.5,20.0,0.0,8,10
sway1,2208.2,16.03,30.0,3.0,8,10
xpln1,2210.6,16.1,30.0,3.0,8,10
sway2,2048.0,15.680000000000001,35.0,2.0,8,10
xpln2,2057.0,16.119999999999997,30.0,2.0,8,10
top,1985.0,19.400000000000002,40.0,199.0,8,10
all,2800.0,15.5,20.0,0.0,8,11
sway1,2197.0,15.963636363636367,30.90909090909091,3.3,8,11
xpln1,2212.7272727272725,16.063636363636363,30.0,3.3,8,11
sway2,2045.3636363636363,15.745454545454548,35.45454545454545,2.15,8,11
xpln2,2141.818181818182,16.054545454545455,29.09090909090909,2.15,8,11
top,1985.0,19.400000000000002,40.0,218.9,8,11
all,2800.0,15.5,20.0,0.0,8,12
sway1,2177.9166666666665,15.783333333333337,31.666666666666668,3.6,8,12
xpln1,2294.1666666666665,15.975,29.166666666666668,3.6,8,12
sway2,2041.1666666666667,15.741666666666667,35.0,2.35,8,12
xpln2,2135.4166666666665,16.058333333333334,29.166666666666668,2.35,8,12
top,1985.0,19.400000000000002,40.0,238.8,8,12
all,2800.0,15.5,20.0,0.0,8,13
sway1,2169.923076923077,15.915384615384617,31.53846153846154,3.9,8,13
xpln1,2289.5384615384614,15.953846153846152,29.23076923076923,3.9,8,13
sway2,2035.3076923076924,15.684615384615386,35.38461538461539,2.55,8,13
xpln2,2130.0,16.06153846153846,29.23076923076923,2.55,8,13
top,1985.0,19.400000000000002,40.0,258.7,8,13
all,2800.0,15.5,20.0,0.0,8,14
sway1,2167.4285714285716,15.950000000000003,31.428571428571427,4.2,8,14
xpln1,2279.9285714285716,15.985714285714284,29.285714285714285,4.2,8,14
sway2,2040.642857142857,15.814285714285715,35.0,2.7,8,14
xpln2,2191.4285714285716,16.014285714285712,28.571428571428573,2.7,8,14
top,1985.0,19.400000000000002,40.0,278.6,8,14
all,2800.0,15.5,20.0,0.0,8,15
sway1,2171.4666666666667,16.020000000000003,31.333333333333332,4.5,8,15
xpln1,2269.9333333333334,16.013333333333332,29.333333333333332,4.5,8,15
sway2,2035.9333333333334,15.806666666666667,34.666666666666664,2.9,8,15
xpln2,2183.0,16.02,28.666666666666668,2.9,8,15
top,1985.0,19.4,40.0,298.5,8,15
all,2800.0,15.5,20.0,0.0,8,16
sway1,2168.4375,15.925000000000002,31.25,4.8,8,16
xpln1,2267.6875,15.993749999999999,29.375,4.8,8,16
sway2,2031.5,15.75625,35.0,3.1,8,16
xpln2,2175.625,16.025,28.75,3.1,8,16
top,1985.0,19.4,40.0,318.4,8,16
all,2800.0,15.5,20.0,0.0,8,17
sway1,2172.9411764705883,15.84117647058824,31.176470588235293,5.1,8,17
xpln1,2255.764705882353,16.0,29.41176470588235,5.1,8,17
sway2,2029.3529411764705,15.75294117647059,35.294117647058826,3.3,8,17
xpln2,2169.1176470588234,16.029411764705884,28.823529411764707,3.3,8,17
top,1985.0,19.4,40.0,338.3,8,17
all,2800.0,15.5,20.0,0.0,8,18
sway1,2170.1666666666665,15.766666666666671,31.11111111111111,5.4,8,18
xpln1,2254.5555555555557,15.983333333333333,29.444444444444443,5.4,8,18
sway2,2041.3333333333333,15.711111111111112,35.0,3.5,8,18
xpln2,2163.3333333333335,16.033333333333335,28.88888888888889,3.5,8,18
top,1985.0,19.399999999999995,40.0,358.2,8,18
all,2800.0,15.5,20.0,0.0,8,19
sway1,2162.2105263157896,15.800000000000002,31.57894736842105,5.7,8,19
xpln1,2249.315789473684,16.005263157894735,29.473684210526315,5.7,8,19
sway2,2047.578947368421,15.647368421052633,35.26315789473684,3.7,8,19
xpln2,2162.8947368421054,16.05263157894737,28.94736842105263,3.7,8,19
top,1985.0,19.399999999999995,40.0,378.1,8,19
all,2800.0,15.5,20.0,0.0,8,20
sway1,2152.85,15.875000000000004,32.0,6.0,8,20
xpln1,2244.6,16.025,29.5,6.0,8,20
sway2,2044.95,15.615,35.5,3.9,8,20
xpln2,2158.0,16.055,29.0,3.9,8,20
top,1985.0,19.399999999999995,40.0,398.0,8,20
