type,Loc+,Risk-,Effort-,Avg evals,budget,run
all,1012.0,6.0,19187.0,0.0,10,1
sway1,858.0,6.0,16381.0,8.0,10,1
xpln1,916.0,4.0,15771.0,8.0,10,1
sway2,392.0,9.0,9646.0,0.0,10,1
xpln2,882.0,8.0,21860.0,0.0,10,1
top,1937.0,0.0,16694.0,1000.0,10,1
all,1024.0,5.5,18923.5,0.0,10,2
sway1,890.5,6.0,22865.5,8.0,10,2
xpln1,956.5,4.5,18526.5,8.0,10,2
sway2,767.5,5.5,18638.0,0.0,10,2
xpln2,939.5,6.0,25436.0,0.0,10,2
top,1957.5,0.0,15777.0,1000.0,10,2
all,1024.6666666666667,5.333333333333333,18850.333333333332,0.0,10,3
sway1,792.6666666666666,6.333333333333333,19480.333333333332,8.0,10,3
xpln1,1010.6666666666666,4.333333333333333,18622.666666666668,8.0,10,3
sway2,682.3333333333334,5.333333333333333,13829.333333333334,0.0,10,3
xpln2,990.6666666666666,5.666666666666667,22650.333333333332,0.0,10,3
top,1950.6666666666667,0.0,14477.666666666666,1000.0,10,3
all,1013.75,5.25,18823.5,0.0,10,4
sway1,712.5,5.75,16564.75,8.0,10,4
xpln1,1002.5,4.5,18305.75,8.0,10,4
sway2,684.25,5.5,16093.5,0.0,10,4
xpln2,988.5,5.25,21386.25,0.0,10,4
top,1934.0,0.0,14377.0,1000.0,10,4
all,1012.4,5.4,19351.4,0.0,10,5
sway1,857.0,5.2,17491.8,8.0,10,5
xpln1,1004.6,4.6,19202.0,8.0,10,5
sway2,844.0,5.2,17455.0,0.0,10,5
xpln2,975.2,4.8,20525.4,0.0,10,5
top,1936.6,0.0,14907.6,1000.0,10,5
all,1015.6666666666666,5.333333333333333,19229.833333333332,0.0,10,6
sway1,883.0,4.5,16178.166666666666,8.0,10,6
xpln1,1011.3333333333334,4.5,18209.0,8.0,10,6
sway2,807.5,5.5,16207.5,0.0,10,6
xpln2,972.3333333333334,5.166666666666667,20941.166666666668,0.0,10,6
top,1935.5,0.0,17893.0,1000.0,10,6
all,1019.7142857142857,5.285714285714286,19243.285714285714,0.0,10,7
sway1,859.5714285714286,4.142857142857143,16009.285714285714,8.0,10,7
xpln1,1005.7142857142857,4.714285714285714,19387.14285714286,8.0,10,7
sway2,844.4285714285714,5.285714285714286,16582.428571428572,0.0,10,7
xpln2,1002.8571428571429,6.142857142857143,21517.428571428572,0.0,10,7
top,1940.2857142857142,0.0,18674.714285714286,1000.0,10,7
all,1028.0,5.25,19278.375,0.0,10,8
sway1,874.875,3.875,15285.125,8.0,10,8
xpln1,986.875,4.625,18829.0,8.0,10,8
sway2,921.0,4.875,17525.625,0.0,10,8
xpln2,993.875,6.0,20827.5,0.0,10,8
top,1940.125,0.0,18619.375,1000.0,10,8
all,1026.6666666666667,5.111111111111111,19385.222222222223,0.0,10,9
sway1,900.2222222222222,3.5555555555555554,16136.777777777777,8.0,10,9
xpln1,991.7777777777778,4.666666666666667,18646.11111111111,8.0,10,9
sway2,961.3333333333334,5.222222222222222,19195.11111111111,0.0,10,9
xpln2,1001.4444444444445,5.777777777777778,20504.0,0.0,10,9
top,1940.888888888889,0.0,18209.222222222223,1000.0,10,9
all,1025.8,5.0,19515.8,0.0,10,10
sway1,900.4,3.5,15458.7,8.0,10,10
xpln1,1016.1,4.7,19919.4,8.0,10,10
sway2,950.3,5.2,19365.9,0.0,10,10
xpln2,1009.3,5.8,20755.6,0.0,10,10
top,1945.4,0.0,18211.5,1000.0,10,10
all,1015.4545454545455,5.0,19440.454545454544,0.0,10,11
sway1,914.0,3.4545454545454546,15476.636363636364,8.0,10,11
xpln1,1021.0909090909091,4.636363636363637,19977.81818181818,8.0,10,11
sway2,965.0,5.090909090909091,18932.0,0.0,10,11
xpln2,1009.2727272727273,5.7272727272727275,20330.090909090908,0.0,10,11
top,1947.2727272727273,0.09090909090909091,18879.090909090908,1000.0,10,11
all,1020.4166666666666,5.083333333333333,19231.0,0.0,10,12
sway1,893.75,3.1666666666666665,14811.666666666666,8.0,10,12
xpln1,1014.5,4.666666666666667,19554.583333333332,8.0,10,12
sway2,957.8333333333334,4.916666666666667,18127.666666666668,0.0,10,12
xpln2,1002.1666666666666,5.75,20592.5,0.0,10,12
top,1943.6666666666667,0.08333333333333333,18783.583333333332,1000.0,10,12
all,1019.3846153846154,5.076923076923077,19470.615384615383,0.0,10,13
sway1,874.3846153846154,3.076923076923077,14117.538461538461,8.0,10,13
xpln1,1030.3076923076924,4.615384615384615,20019.0,8.0,10,13
sway2,922.0769230769231,4.6923076923076925,18035.30769230769,0.0,10,13
xpln2,1003.9230769230769,5.6923076923076925,20546.76923076923,0.0,10,13
top,1942.923076923077,0.07692307692307693,19451.923076923078,1000.0,10,13
all,1015.4285714285714,5.071428571428571,19544.214285714286,0.0,10,14
sway1,909.2857142857143,3.142857142857143,14401.142857142857,8.0,10,14
xpln1,1030.0,4.714285714285714,19903.35714285714,8.0,10,14
sway2,939.8571428571429,4.785714285714286,18119.571428571428,0.0,10,14
xpln2,1009.1428571428571,5.642857142857143,20407.714285714286,0.0,10,14
top,1941.2142857142858,0.07142857142857142,19440.285714285714,1000.0,10,14
all,1014.0666666666667,5.066666666666666,19541.6,0.0,10,15
sway1,921.0666666666667,3.2666666666666666,13965.466666666667,8.0,10,15
xpln1,1026.4666666666667,4.733333333333333,19776.333333333332,8.0,10,15
sway2,947.7333333333333,4.666666666666667,18916.933333333334,0.0,10,15
xpln2,1010.6,5.6,20359.133333333335,0.0,10,15
top,1941.5333333333333,0.06666666666666667,19250.666666666668,1000.0,10,15
all,1009.75,5.0625,19619.125,0.0,10,16
sway1,930.0625,3.125,14223.5,8.0,10,16
xpln1,1033.1875,4.5625,18849.0,8.0,10,16
sway2,968.6875,4.625,19428.875,0.0,10,16
xpln2,1015.4375,6.125,20530.0625,0.0,10,16
top,1943.625,0.125,19572.4375,1000.0,10,16
all,1011.0,5.0588235294117645,19544.352941176472,0.0,10,17
sway1,932.7058823529412,3.0588235294117645,14424.29411764706,8.0,10,17
xpln1,1033.1176470588234,4.588235294117647,18918.882352941175,8.0,10,17
sway2,954.2352941176471,4.705882352941177,19176.29411764706,0.0,10,17
xpln2,1011.7647058823529,6.117647058823529,20481.941176470587,0.0,10,17
top,1943.3529411764705,0.17647058823529413,19295.235294117647,1000.0,10,17
