type,Loc+,Risk-,Effort-,Avg evals,budget,run
all,931.0,5.0,21427.0,0.0,20,1
sway1,1531.0,1.0,9039.0,8.0,20,1
xpln1,1022.0,5.0,15356.0,8.0,20,1
sway2,961.0,5.0,18417.0,0.0,20,1
xpln2,1008.0,7.0,21240.0,0.0,20,1
top,1909.0,0.0,17198.0,1000.0,20,1
all,970.5,5.0,20302.5,0.0,20,2
sway1,1396.5,1.5,15791.5,8.0,20,2
xpln1,997.5,5.0,16144.0,8.0,20,2
sway2,979.5,4.0,18921.0,0.0,20,2
xpln2,981.0,6.5,21782.5,0.0,20,2
top,1912.5,0.0,18971.0,1000.0,20,2
all,972.0,5.0,20624.666666666668,0.0,20,3
sway1,1281.6666666666667,2.6666666666666665,15052.666666666666,8.0,20,3
xpln1,1019.6666666666666,5.0,17603.666666666668,8.0,20,3
sway2,993.0,4.333333333333333,20864.666666666668,0.0,20,3
xpln2,1016.6666666666666,8.333333333333334,21741.333333333332,0.0,20,3
top,1912.3333333333333,0.0,20082.333333333332,1000.0,20,3
all,973.75,5.25,20319.25,0.0,20,4
sway1,1206.25,3.25,15961.25,8.0,20,4
xpln1,1017.5,5.0,18697.75,8.0,20,4
sway2,985.5,4.5,20279.25,0.0,20,4
xpln2,1022.5,7.25,21257.5,0.0,20,4
top,1910.75,0.0,21133.5,1000.0,20,4
all,981.4,5.2,20706.8,0.0,20,5
sway1,1157.8,3.8,16937.8,8.0,20,5
xpln1,1027.4,5.0,18705.6,8.0,20,5
sway2,984.4,5.0,20435.8,0.0,20,5
xpln2,1036.4,7.0,21661.4,0.0,20,5
top,1914.8,0.2,21272.4,1000.0,20,5
all,976.3333333333334,5.166666666666667,20258.333333333332,0.0,20,6
sway1,1165.6666666666667,3.8333333333333335,19110.0,8.0,20,6
xpln1,1024.0,5.166666666666667,18487.5,8.0,20,6
sway2,966.6666666666666,4.666666666666667,19510.5,0.0,20,6
xpln2,1026.8333333333333,6.833333333333333,21065.333333333332,0.0,20,6
top,1916.0,0.3333333333333333,21631.833333333332,1000.0,20,6
all,984.1428571428571,5.142857142857143,20208.285714285714,0.0,20,7
sway1,1165.5714285714287,4.285714285714286,19688.85714285714,8.0,20,7
xpln1,1039.857142857143,4.857142857142857,18366.571428571428,8.0,20,7
sway2,982.7142857142857,4.714285714285714,19526.285714285714,0.0,20,7
xpln2,1038.0,6.428571428571429,20523.0,0.0,20,7
top,1917.857142857143,0.2857142857142857,21190.85714285714,1000.0,20,7
all,989.625,5.125,20043.375,0.0,20,8
sway1,1163.875,4.25,18543.0,8.0,20,8
xpln1,1036.875,5.25,19997.5,8.0,20,8
sway2,992.125,5.0,19563.375,0.0,20,8
xpln2,1040.25,6.375,20728.75,0.0,20,8
top,1917.0,0.25,20721.75,1000.0,20,8
all,989.4444444444445,5.111111111111111,19938.444444444445,0.0,20,9
sway1,1155.0,4.111111111111111,18180.222222222223,8.0,20,9
xpln1,1031.5555555555557,5.111111111111111,19588.333333333332,8.0,20,9
sway2,960.5555555555555,5.0,18917.666666666668,0.0,20,9
xpln2,1049.3333333333333,6.222222222222222,20500.666666666668,0.0,20,9
top,1911.6666666666667,0.3333333333333333,19704.777777777777,1000.0,20,9
all,1000.4,5.1,20055.2,0.0,20,10
sway1,1187.8,4.2,18249.2,8.0,20,10
xpln1,1042.8,5.1,19487.7,8.0,20,10
sway2,966.7,4.9,18548.6,0.0,20,10
xpln2,1042.1,6.1,20000.6,0.0,20,10
top,1909.6,0.3,20222.1,1000.0,20,10
all,1007.0909090909091,5.090909090909091,20183.272727272728,0.0,20,11
sway1,1178.0,4.090909090909091,19054.454545454544,8.0,20,11
xpln1,1042.1818181818182,4.7272727272727275,19491.18181818182,8.0,20,11
sway2,972.5454545454545,4.909090909090909,18439.909090909092,0.0,20,11
xpln2,1044.090909090909,6.0,20113.18181818182,0.0,20,11
top,1909.5454545454545,0.2727272727272727,20254.090909090908,1000.0,20,11
all,1007.5833333333334,5.083333333333333,20187.666666666668,0.0,20,12
sway1,1152.5833333333333,4.333333333333333,18362.166666666668,8.0,20,12
xpln1,1043.9166666666667,5.083333333333333,19881.083333333332,8.0,20,12
sway2,958.9166666666666,5.083333333333333,18373.583333333332,0.0,20,12
xpln2,1043.25,5.833333333333333,19951.166666666668,0.0,20,12
top,1910.3333333333333,0.25,20115.416666666668,1000.0,20,12
all,1006.1538461538462,5.076923076923077,20045.23076923077,0.0,20,13
sway1,1133.7692307692307,4.230769230769231,18628.153846153848,8.0,20,13
xpln1,1040.923076923077,5.230769230769231,20654.30769230769,8.0,20,13
sway2,962.4615384615385,5.076923076923077,18976.46153846154,0.0,20,13
xpln2,1036.4615384615386,5.846153846153846,19788.76923076923,0.0,20,13
top,1911.7692307692307,0.23076923076923078,20135.923076923078,1000.0,20,13
all,1008.7857142857143,5.071428571428571,20061.785714285714,0.0,20,14
sway1,1131.5,4.071428571428571,18095.714285714286,8.0,20,14
xpln1,1043.4285714285713,5.285714285714286,20825.285714285714,8.0,20,14
sway2,980.5714285714286,4.857142857142857,18875.35714285714,0.0,20,14
xpln2,1035.9285714285713,5.785714285714286,19972.64285714286,0.0,20,14
top,1911.7142857142858,0.21428571428571427,20385.071428571428,1000.0,20,14
all,1010.5333333333333,5.133333333333334,19916.6,0.0,20,15
sway1,1121.0666666666666,3.8666666666666667,17550.066666666666,8.0,20,15
xpln1,1010.1333333333333,5.333333333333333,20784.666666666668,8.0,20,15
sway2,991.5333333333333,4.866666666666666,18928.2,0.0,20,15
xpln2,1033.1333333333334,5.733333333333333,20013.533333333333,0.0,20,15
top,1912.9333333333334,0.3333333333333333,20398.466666666667,1000.0,20,15
