type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
all,47.5,252.0,2007.0,21.4,0.0,6,1
sway1,165.0,300.0,7867.0,31.5,4.0,6,1
xpln1,144.0,432.0,6129.0,26.2,4.0,6,1
sway2,38.0,210.0,1553.0,21.3,0.0,6,1
xpln2,38.0,150.0,1553.0,20.2,0.0,6,1
top,3.5,10.8,109.0,7.8,93.0,6,1
all,47.5,252.0,2007.0,21.4,0.0,6,2
sway1,89.0,180.0,4275.0,23.15,4.0,6,2
xpln1,78.5,246.0,3352.0,20.5,4.0,6,2
sway2,91.0,153.5,3841.0,25.05,0.0,6,2
xpln2,64.0,182.5,2448.0,22.299999999999997,0.0,6,2
top,3.5,10.8,109.0,7.8,93.0,6,2
all,47.5,252.0,2007.0,21.399999999999995,0.0,6,3
sway1,60.5,123.60000000000001,2886.3333333333335,18.03333333333333,4.0,6,3
xpln1,55.800000000000004,180.66666666666666,2342.6666666666665,17.400000000000002,4.0,6,3
sway2,67.33333333333333,141.53333333333333,2831.6666666666665,21.7,0.0,6,3
xpln2,55.333333333333336,171.66666666666666,2149.6666666666665,21.599999999999998,0.0,6,3
top,3.5,10.800000000000002,109.0,7.8,93.0,6,3
all,47.5,252.0,2007.0,21.4,0.0,6,4
sway1,54.25,140.7,2605.5,18.349999999999998,4.0,6,4
xpln1,50.35,183.5,2161.75,17.725,4.0,6,4
sway2,54.25,118.15,2241.25,19.674999999999997,0.0,6,4
xpln2,51.0,166.25,2000.5,21.25,0.0,6,4
top,3.5,10.8,109.0,7.8,93.0,6,4
all,47.5,252.0,2007.0,21.4,0.0,6,5
sway1,48.32,160.56,2247.0,17.68,4.0,6,5
xpln1,45.46,170.32,1892.0,17.240000000000002,4.0,6,5
sway2,50.2,108.92,2104.0,19.259999999999998,0.0,6,5
xpln2,47.3,156.52,1844.2,20.52,0.0,6,5
top,3.5,10.8,109.0,7.8,93.0,6,5
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,6
sway1,43.6,145.79999999999998,1966.8333333333333,17.133333333333333,4.0,6,6
xpln1,41.166666666666664,151.93333333333334,1671.0,16.683333333333334,4.0,6,6
sway2,43.73333333333333,100.76666666666667,1855.6666666666667,18.366666666666664,0.0,6,6
xpln2,43.73333333333333,142.43333333333334,1671.5,19.65,0.0,6,6
top,3.5,10.799999999999999,109.0,7.8,93.0,6,6
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,7
sway1,49.51428571428572,167.82857142857142,2293.8571428571427,18.0,4.0,6,7
xpln1,51.142857142857146,173.08571428571426,2133.285714285714,17.785714285714285,4.0,6,7
sway2,48.628571428571426,113.8,2278.4285714285716,19.857142857142858,0.0,6,7
xpln2,42.34285714285714,139.22857142857143,1615.0,19.54285714285714,0.0,6,7
top,3.5,10.799999999999999,109.0,7.799999999999999,93.0,6,7
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,8
sway1,45.825,152.85,2077.875,17.55,4.0,6,8
xpln1,47.25,157.45,1937.375,17.3625,4.0,6,8
sway2,44.55,113.825,2095.25,18.975,0.0,6,8
xpln2,40.287499999999994,136.525,1514.75,19.0125,0.0,6,8
top,3.5,10.799999999999999,109.0,7.799999999999999,93.0,6,8
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,9
sway1,41.62222222222223,140.53333333333333,1893.6666666666667,16.977777777777778,4.0,6,9
xpln1,43.44444444444444,146.6222222222222,1770.6666666666667,16.822222222222223,4.0,6,9
sway2,48.266666666666666,164.66666666666666,2397.4444444444443,20.255555555555556,0.0,6,9
xpln2,38.68888888888888,134.42222222222222,1448.6666666666667,18.72222222222222,0.0,6,9
top,3.5,10.799999999999999,109.0,7.799999999999999,93.0,6,9
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,10
sway1,40.86,133.68,1859.8,16.9,4.0,6,10
xpln1,41.1,139.16,1674.9,16.53,4.0,6,10
sway2,46.69,154.2,2285.3,20.310000000000002,0.0,6,10
xpln2,37.40999999999999,132.73999999999998,1402.4,18.61,0.0,6,10
top,3.5,10.799999999999999,109.0,7.799999999999999,93.0,6,10
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,11
sway1,40.00909090909091,128.07272727272726,1780.3636363636363,16.963636363636365,4.0,6,11
xpln1,40.22727272727273,131.96363636363637,1612.2727272727273,16.62727272727273,4.0,6,11
sway2,50.627272727272725,172.9090909090909,2381.4545454545455,20.845454545454547,0.0,6,11
xpln2,37.463636363636354,134.30909090909088,1416.090909090909,18.754545454545454,0.0,6,11
top,3.5,10.799999999999999,109.0,7.799999999999998,93.0,6,11
all,47.5,252.0,2007.0,21.400000000000002,0.0,6,12
sway1,42.50833333333333,155.56666666666666,1832.3333333333333,17.841666666666665,4.0,6,12
xpln1,42.708333333333336,159.13333333333333,1701.6666666666667,17.533333333333335,4.0,6,12
sway2,47.349999999999994,162.0,2221.0,20.175,0.0,6,12
xpln2,35.98333333333333,128.11666666666665,1349.25,18.391666666666666,0.0,6,12
top,3.5,10.799999999999999,109.0,7.799999999999998,93.0,6,12
all,47.5,252.0,2007.0,21.4,0.0,6,13
sway1,39.98461538461539,145.53846153846155,1714.6153846153845,17.315384615384616,4.0,6,13
xpln1,40.16923076923077,149.66153846153844,1594.0,17.03076923076923,4.0,6,13
sway2,44.93846153846153,153.23076923076923,2098.3076923076924,19.78461538461539,0.0,6,13
xpln2,36.13846153846153,129.79999999999998,1364.923076923077,18.53076923076923,0.0,6,13
top,3.5,10.8,109.0,7.799999999999998,93.0,6,13
all,47.5,252.0,2007.0,21.4,0.0,6,14
