type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
all,47.5,252.0,2007.0,21.4,0.0,8,1
sway1,165.0,300.0,7867.0,31.5,4.0,8,1
xpln1,144.0,432.0,6129.0,26.2,4.0,8,1
sway2,11.3,42.0,456.0,12.8,0.0,8,1
xpln2,19.7,72.0,704.0,15.1,0.0,8,1
top,5.5,18.0,172.0,9.1,93.0,8,1
all,47.5,252.0,2007.0,21.4,0.0,8,2
sway1,92.35,180.0,4240.5,22.7,4.0,8,2
xpln1,76.85,234.0,3215.5,18.6,4.0,8,2
sway2,15.65,51.0,580.0,13.95,0.0,8,2
xpln2,28.85,111.0,1128.5,17.65,0.0,8,2
top,5.5,18.0,172.0,9.1,93.0,8,2
all,47.5,252.0,2007.0,21.399999999999995,0.0,8,3
sway1,72.23333333333333,570.0,3821.6666666666665,26.333333333333332,4.0,8,3
xpln1,53.9,170.0,2283.6666666666665,16.566666666666666,4.0,8,3
sway2,23.099999999999998,104.0,904.3333333333334,16.400000000000002,0.0,8,3
xpln2,27.866666666666664,98.0,1021.6666666666666,16.866666666666664,0.0,8,3
top,5.5,18.0,172.0,9.1,93.0,8,3
all,47.5,252.0,2007.0,21.4,0.0,8,4
sway1,78.675,502.5,4093.0,25.85,4.0,8,4
xpln1,76.425,235.5,3245.0,18.975,4.0,8,4
sway2,41.825,153.0,1386.25,18.4,0.0,8,4
xpln2,30.4,111.0,1154.5,17.7,0.0,8,4
top,5.5,18.0,172.0,9.1,93.0,8,4
all,47.5,252.0,2007.0,21.4,0.0,8,5
sway1,82.94,445.0,4116.4,26.7,4.0,8,5
xpln1,67.64,202.8,2851.2,19.34,4.0,8,5
sway2,36.260000000000005,134.4,1196.4,17.2,0.0,8,5
xpln2,31.919999999999998,118.8,1234.2,18.2,0.0,8,5
top,5.5,18.0,172.0,9.1,93.0,8,5
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,6
sway1,71.28333333333333,380.8333333333333,3544.1666666666665,24.71666666666667,4.0,8,6
xpln1,58.53333333333333,179.0,2489.8333333333335,18.583333333333332,4.0,8,6
sway2,44.38333333333333,178.66666666666666,1706.3333333333333,18.816666666666666,0.0,8,6
xpln2,32.93333333333333,124.0,1287.3333333333333,18.533333333333335,0.0,8,6
top,5.5,18.0,172.0,9.1,93.0,8,6
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,7
sway1,63.24285714285714,339.2857142857143,3120.0,23.357142857142858,4.0,8,7
xpln1,54.67142857142857,169.71428571428572,2275.0,18.442857142857143,4.0,8,7
sway2,49.32857142857143,196.0,1795.0,19.614285714285717,0.0,8,7
xpln2,33.65714285714286,127.71428571428571,1325.2857142857142,18.771428571428572,0.0,8,7
top,5.5,18.0,172.0,9.1,93.0,8,7
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,8
sway1,55.775,298.225,2743.625,21.4125,4.0,8,8
xpln1,49.7125,154.75,2049.375,17.8375,4.0,8,8
sway2,51.4875,215.6,1830.25,19.7875,0.0,8,8
xpln2,34.2,130.5,1353.75,18.95,0.0,8,8
top,5.5,18.0,172.0,9.1,93.0,8,8
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,9
sway1,50.43333333333333,268.55555555555554,2465.4444444444443,20.155555555555555,4.0,8,9
xpln1,45.34444444444444,143.11111111111111,1857.6666666666667,17.099999999999998,4.0,8,9
sway2,56.87777777777777,227.64444444444447,2094.6666666666665,20.5,0.0,8,9
xpln2,32.62222222222223,122.66666666666667,1288.5555555555557,18.51111111111111,0.0,8,9
top,5.5,18.0,172.0,9.1,93.0,8,9
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,10
sway1,48.79,248.9,2374.4,19.759999999999998,4.0,8,10
xpln1,45.66,152.8,1912.8,17.54,4.0,8,10
sway2,52.69,209.68,1932.2,19.81,0.0,8,10
xpln2,33.160000000000004,125.4,1315.0,18.68,0.0,8,10
top,5.5,18.0,172.0,9.099999999999998,93.0,8,10
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,11
sway1,47.03636363636363,237.1818181818182,2242.181818181818,19.418181818181818,4.0,8,11
xpln1,42.39090909090908,142.1818181818182,1766.3636363636363,16.94545454545454,4.0,8,11
sway2,49.26363636363636,194.9818181818182,1808.8181818181818,19.38181818181818,0.0,8,11
xpln2,31.963636363636365,122.18181818181819,1268.909090909091,18.36363636363636,0.0,8,11
top,5.5,18.0,172.0,9.099999999999998,93.0,8,11
all,47.5,252.0,2007.0,21.400000000000002,0.0,8,12
sway1,43.800000000000004,220.41666666666666,2076.6666666666665,18.666666666666668,4.0,8,12
xpln1,40.49999999999999,135.33333333333334,1670.3333333333333,16.691666666666666,4.0,8,12
sway2,47.61666666666667,188.73333333333335,1734.75,19.099999999999998,0.0,8,12
xpln2,32.46666666666667,124.5,1292.5833333333333,18.516666666666662,0.0,8,12
top,5.5,18.0,172.0,9.099999999999998,93.0,8,12
all,47.5,252.0,2007.0,21.4,0.0,8,13
sway1,41.3,206.3846153846154,1953.6153846153845,18.415384615384617,4.0,8,13
xpln1,38.25384615384615,127.84615384615384,1578.5384615384614,16.592307692307692,4.0,8,13
sway2,46.223076923076924,178.83076923076925,1672.076923076923,18.861538461538462,0.0,8,13
xpln2,31.50769230769231,119.53846153846153,1252.1538461538462,18.24615384615384,0.0,8,13
top,5.5,18.0,172.0,9.099999999999998,93.0,8,13
all,47.5,252.0,2007.0,21.4,0.0,8,14
sway1,39.42142857142857,198.07142857142858,1855.142857142857,18.185714285714287,4.0,8,14
xpln1,37.021428571428565,126.85714285714286,1541.357142857143,16.849999999999998,4.0,8,14
sway2,44.771428571428565,174.45714285714286,1610.357142857143,18.62142857142857,0.0,8,14
xpln2,31.107142857142858,116.14285714285714,1220.4285714285713,18.035714285714285,0.0,8,14
top,5.5,18.0,172.0,9.099999999999998,93.0,8,14
all,47.5,252.0,2007.0,21.399999999999995,0.0,8,15
sway1,38.89333333333333,188.86666666666667,1797.2,18.146666666666665,4.0,8,15
xpln1,36.279999999999994,126.24,1492.4666666666667,16.746666666666666,4.0,8,15
sway2,48.45333333333333,186.82666666666668,1792.4666666666667,18.946666666666665,0.0,8,15
xpln2,31.3,116.4,1224.1333333333334,18.09333333333333,0.0,8,15
top,5.5,18.0,172.0,9.099999999999998,93.0,8,15
all,47.5,252.0,2007.0,21.399999999999995,0.0,8,16
sway1,38.30625,184.5625,1742.375,18.0125,4.0,8,16
xpln1,34.887499999999996,122.1,1426.5,16.474999999999998,4.0,8,16
sway2,50.7375,187.15,1851.875,19.2125,0.0,8,16
