type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
all,47.5,252.0,2007.0,21.4,0.0,2,1
sway1,34.0,72.0,1555.0,16.2,5.0,2,1
xpln1,85.0,300.0,4256.0,23.2,5.0,2,1
sway2,15.4,70.0,765.0,14.5,2.0,2,1
xpln2,32.0,170.0,1619.0,18.7,2.0,2,1
top,0.9,8.4,28.0,4.9,93.0,2,1
all,47.5,252.0,2007.0,21.4,0.0,2,2
sway1,25.0,93.0,1221.0,16.299999999999997,5.0,2,2
xpln1,50.5,207.0,2571.5,19.799999999999997,5.0,2,2
sway2,27.7,110.0,992.0,16.7,1.0,2,2
xpln2,35.0,160.0,1586.0,19.45,1.0,2,2
top,0.9,8.4,28.0,4.9,93.0,2,2
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,3
sway1,18.833333333333332,76.0,910.6666666666666,14.866666666666665,5.0,2,3
xpln1,37.0,154.0,1873.3333333333333,18.13333333333333,5.0,2,3
sway2,22.733333333333334,94.0,873.3333333333334,15.666666666666666,1.3333333333333333,2,3
xpln2,34.0,163.33333333333334,1597.0,19.2,1.3333333333333333,2,3
top,0.9,8.4,28.0,4.9,93.0,2,3
all,47.5,252.0,2007.0,21.4,0.0,2,4
sway1,19.125,117.0,886.25,14.349999999999998,5.0,2,4
xpln1,47.5,175.5,1986.75,19.474999999999998,5.0,2,4
sway2,20.900000000000002,88.0,846.25,15.375,1.5,2,4
xpln2,37.625,182.5,1800.0,19.775,1.5,2,4
top,0.9,8.4,28.0,4.9,93.0,2,4
all,47.5,252.0,2007.0,21.4,0.0,2,5
sway1,35.3,165.6,1577.4,17.08,5.0,2,5
xpln1,58.0,212.4,2457.8,21.18,5.0,2,5
sway2,17.32,78.0,723.2,14.7,1.6,2,5
xpln2,40.7,242.0,2036.8,21.839999999999996,1.6,2,5
top,0.9,8.4,28.0,4.9,93.0,2,5
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,6
sway1,40.516666666666666,196.79999999999998,1660.6666666666667,17.73333333333333,5.0,2,6
xpln1,49.949999999999996,183.0,2098.5,19.48333333333333,5.0,2,6
sway2,17.150000000000002,78.66666666666667,737.6666666666666,14.716666666666667,1.6666666666666667,2,6
xpln2,39.25,230.0,1967.1666666666667,21.316666666666666,1.6666666666666667,2,6
top,0.9,8.4,28.0,4.8999999999999995,93.0,2,6
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,7
sway1,35.9,173.82857142857142,1460.0,16.685714285714287,5.0,2,7
xpln1,45.628571428571426,165.42857142857142,1886.4285714285713,18.52857142857143,5.0,2,7
sway2,15.12857142857143,72.85714285714286,665.2857142857143,14.328571428571427,1.8571428571428572,2,7
xpln2,34.67857142857143,202.57142857142858,1751.2857142857142,20.471428571428568,1.8571428571428572,2,7
top,0.9000000000000001,8.4,28.0,4.8999999999999995,93.0,2,7
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,8
sway1,31.787499999999998,153.6,1306.375,16.1,5.0,2,8
xpln1,40.699999999999996,149.5,1710.25,18.1375,5.0,2,8
sway2,14.012500000000001,65.25,641.75,14.4625,1.875,2,8
xpln2,31.25,182.0,1589.375,19.8375,1.875,2,8
top,0.9000000000000001,8.4,28.0,4.8999999999999995,93.0,2,8
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,9
