type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
sway1,29.14444444444444,141.2,1207.888888888889,15.700000000000001,5.0,2,9
xpln1,37.62222222222222,139.55555555555554,1584.111111111111,17.766666666666666,5.0,2,9
sway2,13.877777777777778,64.88888888888889,641.1111111111111,14.366666666666667,1.8888888888888888,2,9
xpln2,31.400000000000002,183.11111111111111,1589.888888888889,19.766666666666666,1.8888888888888888,2,9
top,0.9000000000000001,8.4,28.0,4.8999999999999995,93.0,2,9
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,10
sway1,44.019999999999996,251.88000000000002,1886.9,17.28,5.0,2,10
xpln1,51.65,250.4,2225.5,19.14,5.0,2,10
sway2,12.790000000000001,59.6,600.1,14.13,2.0,2,10
xpln2,33.11,188.8,1671.8,19.939999999999998,2.0,2,10
top,0.9000000000000001,8.400000000000002,28.0,4.8999999999999995,93.0,2,10
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,11
sway1,129.1090909090909,643.5272727272727,6348.181818181818,24.472727272727276,5.0,2,11
xpln1,55.86363636363637,266.90909090909093,2460.909090909091,19.70909090909091,5.0,2,11
sway2,13.109090909090911,61.63636363636363,619.1818181818181,14.190909090909093,2.0,2,11
xpln2,33.00909090909091,187.0909090909091,1667.0,19.827272727272724,2.0,2,11
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,11
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,12
sway1,118.99166666666666,592.5,5839.166666666667,23.275000000000006,5.0,2,12
xpln1,53.25833333333333,254.46666666666667,2319.75,19.316666666666666,5.0,2,12
sway2,12.533333333333333,57.5,607.3333333333334,14.29166666666667,2.0,2,12
xpln2,34.675000000000004,211.5,1776.75,20.68333333333333,2.0,2,12
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,12
all,47.5,252.0,2007.0,21.4,0.0,2,13
sway1,111.02307692307691,552.3076923076923,5448.846153846154,22.600000000000005,5.0,2,13
xpln1,50.41538461538461,241.2,2203.6153846153848,18.96923076923077,5.0,2,13
sway2,11.8,54.0,578.3846153846154,14.115384615384617,2.076923076923077,2,13
xpln2,36.08461538461539,232.15384615384616,1869.6153846153845,21.407692307692304,2.076923076923077,2,13
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,13
all,47.5,252.0,2007.0,21.4,0.0,2,14
sway1,104.85,521.2571428571429,5114.428571428572,22.05714285714286,5.0,2,14
xpln1,47.55714285714286,227.54285714285714,2069.3571428571427,18.414285714285715,5.0,2,14
sway2,11.4,51.0,571.1428571428571,14.207142857142859,2.142857142857143,2,14
xpln2,34.025,218.28571428571428,1768.642857142857,20.978571428571424,2.142857142857143,2,14
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,14
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,15
sway1,98.88666666666667,491.17333333333335,4824.466666666666,21.553333333333338,5.0,2,15
xpln1,46.519999999999996,223.70666666666665,2039.3333333333333,18.433333333333334,5.0,2,15
sway2,11.726666666666667,79.6,616.6,14.693333333333335,2.1333333333333333,2,15
xpln2,32.24,206.26666666666668,1681.1333333333334,20.606666666666662,2.1333333333333333,2,15
top,0.9000000000000002,8.400000000000002,28.0,4.9,93.0,2,15
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,16
sway1,93.95625,466.5375,4573.75,21.006250000000005,5.0,2,16
xpln1,53.05,236.725,2295.375,18.91875,5.0,2,16
sway2,13.2125,86.625,688.25,14.981250000000003,2.125,2,16
xpln2,32.2625,205.375,1675.6875,20.518749999999994,2.125,2,16
top,0.9000000000000002,8.400000000000002,28.0,4.9,93.0,2,16
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,17
sway1,88.63529411764705,439.7294117647059,4311.117647058823,20.229411764705887,5.0,2,17
xpln1,50.5,224.91764705882352,2178.1176470588234,18.45294117647059,5.0,2,17
sway2,12.611764705882353,83.76470588235294,661.3529411764706,14.805882352941179,2.176470588235294,2,17
xpln2,33.48235294117647,221.52941176470588,1752.6470588235295,21.082352941176467,2.176470588235294,2,17
top,0.9000000000000002,8.400000000000002,28.0,4.9,93.0,2,17
all,47.5,252.0,2007.0,21.39999999999999,0.0,2,18
sway1,84.43333333333334,418.6333333333334,4109.555555555556,19.927777777777784,5.0,2,18
xpln1,48.416666666666664,215.75555555555556,2089.0555555555557,18.25,5.0,2,18
sway2,12.255555555555555,79.77777777777777,651.1111111111111,14.83888888888889,2.2222222222222223,2,18
xpln2,34.56666666666667,235.88888888888889,1821.0555555555557,21.58333333333333,2.2222222222222223,2,18
top,0.9000000000000001,8.400000000000002,28.0,4.900000000000001,93.0,2,18
all,47.5,252.0,2007.0,21.39999999999999,0.0,2,19
sway1,81.28421052631579,402.7894736842106,3933.6315789473683,19.668421052631583,5.0,2,19
xpln1,47.16315789473684,210.5894736842105,2019.4736842105262,18.07894736842105,5.0,2,19
sway2,11.76842105263158,77.57894736842105,629.0,14.689473684210528,2.210526315789474,2,19
xpln2,33.12894736842105,225.47368421052633,1749.2105263157894,21.2578947368421,2.210526315789474,2,19
top,0.9,8.400000000000002,28.0,4.900000000000001,93.0,2,19
all,47.5,252.0,2007.0,21.39999999999999,0.0,2,20
sway1,77.36999999999999,384.55000000000007,3748.5,19.285000000000004,5.0,2,20
xpln1,47.455,224.06,2067.7,18.68,5.0,2,20
sway2,11.82,76.8,629.35,14.635000000000002,2.2,2,20
xpln2,33.072500000000005,222.7,1742.7,21.129999999999995,2.2,2,20
top,0.9,8.400000000000002,28.0,4.900000000000001,93.0,2,20
