type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
all,47.5,252.0,2007.0,21.4,0.0,10,1
sway1,165.0,432.0,7867.0,31.5,4.0,10,1
xpln1,144.0,432.0,6129.0,26.2,4.0,10,1
sway2,47.5,162.0,2007.0,22.3,0.0,10,1
xpln2,25.9,117.6,986.0,17.6,0.0,10,1
top,6.0,24.0,188.0,9.9,93.0,10,1
all,47.5,252.0,2007.0,21.4,0.0,10,2
sway1,94.5,378.0,4400.0,25.35,4.0,10,2
xpln1,97.0,540.0,4178.0,29.35,4.0,10,2
sway2,36.7,117.0,1496.5,19.25,0.0,10,2
xpln2,31.95,133.8,1269.5,18.9,0.0,10,2
top,6.0,24.0,188.0,9.9,93.0,10,2
all,47.5,252.0,2007.0,21.399999999999995,0.0,10,3
sway1,65.73333333333333,264.0,3018.6666666666665,20.366666666666667,4.0,10,3
xpln1,67.89999999999999,372.0,2886.0,23.233333333333334,4.0,10,3
sway2,46.666666666666664,149.66666666666666,1690.0,19.833333333333332,0.0,10,3
xpln2,27.866666666666664,113.2,1081.0,17.633333333333333,0.0,10,3
top,6.0,24.0,188.0,9.9,93.0,10,3
all,47.5,252.0,2007.0,21.4,0.0,10,4
sway1,119.825,441.25,4393.5,24.6,4.0,10,4
xpln1,60.425,331.5,2552.75,22.75,4.0,10,4
sway2,39.825,127.25,1438.25,18.35,0.0,10,4
xpln2,25.724999999999998,99.9,981.5,16.975,0.0,10,4
top,6.0,24.0,188.0,9.9,93.0,10,4
all,47.5,252.0,2007.0,21.4,0.0,10,5
sway1,100.06,375.8,3726.4,23.94,4.0,10,5
xpln1,51.54,286.6,2219.6,21.48,4.0,10,5
sway2,34.86,121.55999999999999,1291.4,17.78,0.0,10,5
xpln2,25.759999999999998,103.44000000000001,969.2,16.860000000000003,0.0,10,5
top,6.0,24.0,188.0,9.9,93.0,10,5
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,6
sway1,107.38333333333333,413.1666666666667,4126.833333333333,24.75,4.0,10,6
xpln1,66.95,310.8333333333333,2871.1666666666665,22.266666666666666,4.0,10,6
sway2,42.050000000000004,151.29999999999998,1533.3333333333333,18.883333333333336,0.0,10,6
xpln2,27.13333333333333,106.2,1020.3333333333334,17.200000000000003,0.0,10,6
top,6.0,24.0,188.0,9.9,93.0,10,6
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,7
sway1,96.54285714285713,365.85714285714283,3678.1428571428573,23.728571428571428,4.0,10,7
xpln1,61.885714285714286,278.14285714285717,2601.8571428571427,21.599999999999998,4.0,10,7
sway2,39.557142857142864,146.48571428571427,1441.0,18.528571428571432,0.0,10,7
xpln2,26.11428571428571,107.31428571428572,990.0,16.95714285714286,0.0,10,7
top,6.0,24.0,188.0,9.9,93.0,10,7
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,8
sway1,85.1625,322.375,3239.875,21.9,4.0,10,8
xpln1,55.3625,247.875,2314.375,20.275,4.0,10,8
sway2,36.237500000000004,134.42499999999998,1339.125,18.062500000000004,0.0,10,8
xpln2,26.0875,108.60000000000001,989.5,17.0375,0.0,10,8
top,6.0,24.0,188.0,9.9,93.0,10,8
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,9
sway1,77.88888888888889,293.22222222222223,2948.1111111111113,21.01111111111111,4.0,10,9
xpln1,50.288888888888884,224.33333333333334,2090.777777777778,19.244444444444444,4.0,10,9
sway2,47.43333333333334,166.15555555555554,1658.111111111111,19.25555555555556,0.0,10,9
xpln2,27.41111111111111,113.2,1052.111111111111,17.38888888888889,0.0,10,9
top,6.0,24.0,188.0,9.9,93.0,10,9
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,10
sway1,70.92,267.5,2678.9,19.95,4.0,10,10
xpln1,46.3,206.9,1914.1,18.439999999999998,4.0,10,10
sway2,50.49,159.23999999999998,1766.6,19.830000000000005,0.0,10,10
xpln2,27.259999999999998,113.64000000000001,1038.9,17.29,0.0,10,10
top,6.0,24.0,188.0,9.900000000000002,93.0,10,10
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,11
sway1,65.38181818181819,247.54545454545453,2474.181818181818,19.272727272727273,4.0,10,11
xpln1,44.954545454545446,198.45454545454547,1829.7272727272727,18.36363636363636,4.0,10,11
sway2,49.536363636363646,158.85454545454544,1716.8181818181818,19.74545454545455,0.0,10,11
xpln2,26.599999999999998,113.67272727272729,1017.9090909090909,17.12727272727273,0.0,10,11
top,6.0,24.0,188.0,9.900000000000002,93.0,10,11
all,47.5,252.0,2007.0,21.400000000000002,0.0,10,12
sway1,62.55833333333334,231.91666666666666,2350.1666666666665,19.133333333333333,4.0,10,12
xpln1,44.375,194.41666666666666,1806.6666666666667,18.516666666666662,4.0,10,12
sway2,47.56666666666667,150.61666666666665,1641.0833333333333,19.375000000000004,0.0,10,12
xpln2,26.54166666666666,114.0,1015.25,17.166666666666668,0.0,10,12
top,6.0,24.0,188.0,9.900000000000002,93.0,10,12
all,47.5,252.0,2007.0,21.4,0.0,10,13
sway1,61.47692307692308,232.46153846153845,2329.153846153846,19.276923076923076,4.0,10,13
xpln1,42.146153846153844,184.23076923076923,1716.6153846153845,18.16153846153846,4.0,10,13
sway2,44.67692307692308,142.72307692307692,1547.6923076923076,18.838461538461544,0.0,10,13
xpln2,27.42307692307692,116.76923076923077,1056.6153846153845,17.4,0.0,10,13
top,6.0,24.0,188.0,9.900000000000002,93.0,10,13
all,47.5,252.0,2007.0,21.4,0.0,10,14
sway1,58.01428571428572,220.14285714285714,2211.5714285714284,18.957142857142856,4.0,10,14
xpln1,40.06428571428571,175.35714285714286,1625.2142857142858,17.757142857142856,4.0,10,14
sway2,44.34285714285715,143.24285714285713,1524.2142857142858,18.84285714285715,0.0,10,14
xpln2,28.178571428571423,119.14285714285714,1092.0714285714287,17.599999999999998,0.0,10,14
top,6.0,24.0,188.0,9.900000000000002,93.0,10,14
all,47.5,252.0,2007.0,21.399999999999995,0.0,10,15
sway1,54.79333333333334,207.14666666666665,2084.266666666667,18.426666666666666,4.0,10,15
xpln1,38.04,166.06666666666666,1537.0,17.306666666666665,4.0,10,15
sway2,43.35333333333334,138.4933333333333,1483.9333333333334,18.65333333333334,0.0,10,15
xpln2,28.83333333333333,121.2,1122.8,17.77333333333333,0.0,10,15
top,6.0,24.0,188.0,9.900000000000002,93.0,10,15
all,47.5,252.0,2007.0,21.399999999999995,0.0,10,16
sway1,52.306250000000006,199.825,1996.6875,18.224999999999998,4.0,10,16
xpln1,36.975,162.8125,1507.0625,17.487499999999997,4.0,10,16
sway2,42.2625,137.18749999999997,1441.6875,18.443750000000005,0.0,10,16
xpln2,28.281249999999996,120.75,1103.125,17.631249999999998,0.0,10,16
top,6.0,24.0,188.0,9.900000000000002,93.0,10,16
all,47.5,252.0,2007.0,21.399999999999995,0.0,10,17
sway1,49.99411764705883,191.6,1913.0588235294117,18.023529411764706,4.0,10,17
xpln1,35.38823529411765,156.05882352941177,1446.4705882352941,17.32941176470588,4.0,10,17
sway2,44.36470588235294,143.9411764705882,1493.764705882353,18.74117647058824,0.0,10,17
xpln2,28.852941176470583,122.47058823529412,1129.5882352941176,17.78235294117647,0.0,10,17
top,6.0,24.0,188.0,9.900000000000002,93.0,10,17
all,47.5,252.0,2007.0,21.39999999999999,0.0,10,18
sway1,48.58333333333334,187.48888888888888,1849.388888888889,17.855555555555554,4.0,10,18
xpln1,34.31111111111111,150.83333333333334,1408.611111111111,17.188888888888886,4.0,10,18
sway2,43.705555555555556,139.94444444444443,1481.6666666666667,18.85555555555556,0.0,10,18
xpln2,28.688888888888886,119.66666666666667,1111.7222222222222,17.644444444444442,0.0,10,18
top,6.0,24.0,188.0,9.900000000000002,93.0,10,18
all,47.5,252.0,2007.0,21.39999999999999,0.0,10,19
sway1,47.063157894736854,180.77894736842103,1784.3684210526317,17.64736842105263,4.0,10,19
xpln1,33.015789473684215,144.78947368421052,1350.3684210526317,16.86315789473684,4.0,10,19
sway2,42.247368421052634,135.73684210526312,1450.3684210526317,18.726315789473688,0.0,10,19
xpln2,28.968421052631577,119.6842105263158,1120.3684210526317,17.71052631578947,0.0,10,19
top,6.0,24.0,188.0,9.900000000000002,93.0,10,19
all,47.5,252.0,2007.0,21.39999999999999,0.0,10,20
sway1,46.34000000000001,180.23999999999998,1776.1,17.699999999999996,4.0,10,20
xpln1,32.99,141.65,1346.65,16.955,4.0,10,20
sway2,42.135000000000005,138.54999999999998,1438.8,18.735000000000003,0.0,10,20
xpln2,29.419999999999998,121.2,1142.0,17.834999999999997,0.0,10,20
top,6.0,24.0,188.0,9.900000000000002,93.0,10,20
