type,PSNR-,Energy-,Avg evals,budget,run
xpln2,45.24800000000001,1098.8846666666666,2.2,20,15
top,29.432666666666666,652.6126666666668,1000.0,20,15
all,45.833124999999995,1265.8368750000004,0.0,20,16
sway1,42.55,1478.2287500000004,9.0,20,16
xpln1,44.87625,1606.069375,9.0,20,16
sway2,42.89125,984.2749999999999,2.25,20,16
xpln2,45.260000000000005,1100.9950000000001,2.25,20,16
top,29.517500000000002,641.5912500000002,1000.0,20,16
all,45.838823529411755,1267.7200000000003,0.0,20,17
sway1,42.515882352941176,1420.8641176470592,9.0,20,17
xpln1,44.94588235294117,1575.4858823529412,9.0,20,17
sway2,43.065294117647056,956.3764705882352,2.235294117647059,20,17
xpln2,45.293529411764716,1095.77,2.235294117647059,20,17
top,29.48,640.2035294117649,1000.0,20,17
all,45.844444444444434,1268.317777777778,0.0,20,18
sway1,42.62,1380.1533333333336,9.0,20,18
xpln1,45.04611111111111,1609.0911111111113,9.0,20,18
sway2,43.14055555555555,980.2383333333332,2.2222222222222223,20,18
xpln2,45.30500000000001,1095.266111111111,2.2222222222222223,20,18
top,29.543888888888894,634.2916666666669,1000.0,20,18
all,45.838947368421046,1268.2673684210529,0.0,20,19
sway1,42.40684210526316,1381.766315789474,9.0,20,19
xpln1,45.09210526315789,1591.794210526316,9.0,20,19
sway2,42.94842105263158,966.595789473684,2.3157894736842106,20,19
xpln2,45.31473684210527,1098.018947368421,2.3157894736842106,20,19
top,29.576315789473686,651.6694736842106,1000.0,20,19
all,45.837999999999994,1264.3185000000003,0.0,20,20
sway1,42.5755,1444.2480000000003,9.0,20,20
xpln1,45.107499999999995,1568.9675000000002,9.0,20,20
sway2,43.169,966.1474999999998,2.3,20,20
xpln2,45.41700000000001,1093.7135,2.3,20,20
top,29.5875,647.2730000000001,1000.0,20,20
