type,PSNR-,Energy-,Avg evals,budget,run
all,45.67,1237.73,0.0,10,1
sway1,47.13,568.67,9.0,10,1
xpln1,45.06,1094.1,9.0,10,1
sway2,38.82,981.89,0.0,10,1
xpln2,45.06,1094.1,0.0,10,1
top,29.98,333.47,1000.0,10,1
all,45.81,1290.37,0.0,10,2
sway1,44.475,514.495,9.0,10,2
xpln1,43.415000000000006,886.055,9.0,10,2
sway2,39.864999999999995,767.9749999999999,1.5,10,2
xpln2,46.065,1754.835,1.5,10,2
top,28.685000000000002,448.605,1000.0,10,2
all,45.84666666666667,1275.5633333333333,0.0,10,3
sway1,42.943333333333335,573.93,9.0,10,3
xpln1,43.13666666666668,953.25,9.0,10,3
sway2,40.54333333333333,697.4966666666666,1.0,10,3
xpln2,44.90333333333333,1532.4366666666667,1.0,10,3
top,28.19,433.8066666666667,1000.0,10,3
all,45.86500000000001,1276.9724999999999,0.0,10,4
sway1,41.8575,737.8399999999999,9.0,10,4
xpln1,42.440000000000005,844.01,9.0,10,4
sway2,41.2725,656.7199999999999,1.25,10,4
xpln2,44.79749999999999,1394.2925,1.25,10,4
top,28.025000000000002,479.37250000000006,1000.0,10,4
all,45.71000000000001,1275.244,0.0,10,5
sway1,41.414,687.2479999999999,9.0,10,5
xpln1,42.32600000000001,923.9639999999999,9.0,10,5
sway2,41.096000000000004,744.66,1.6,10,5
xpln2,45.025999999999996,1335.0040000000001,1.6,10,5
top,28.588,463.3960000000001,1000.0,10,5
all,45.745000000000005,1264.2033333333331,0.0,10,6
sway1,41.47833333333333,655.5949999999999,9.0,10,6
xpln1,42.525000000000006,927.1966666666666,9.0,10,6
sway2,41.028333333333336,714.29,1.3333333333333333,10,6
xpln2,45.029999999999994,1301.49,1.3333333333333333,10,6
top,28.425,455.24500000000006,1000.0,10,6
all,45.75571428571429,1260.9057142857143,0.0,10,7
sway1,42.17285714285715,682.5171428571429,9.0,10,7
xpln1,43.23428571428572,931.2957142857142,9.0,10,7
sway2,41.72571428571429,798.1142857142856,1.5714285714285714,10,7
xpln2,44.58999999999999,1272.0985714285714,1.5714285714285714,10,7
top,28.34,477.4700000000001,1000.0,10,7
all,45.765,1259.755,0.0,10,8
sway1,42.151250000000005,707.8875,9.0,10,8
xpln1,43.58500000000001,940.2325,9.0,10,8
sway2,41.74000000000001,842.2824999999999,1.75,10,8
xpln2,44.553749999999994,1236.0,1.75,10,8
top,28.445,464.18375000000003,1000.0,10,8
all,45.611111111111114,1254.288888888889,0.0,10,9
sway1,42.12777777777778,686.1800000000001,9.0,10,9
xpln1,43.686666666666675,962.2077777777777,9.0,10,9
sway2,42.38111111111112,841.1466666666666,1.7777777777777777,10,9
xpln2,44.85111111111111,1227.5177777777778,1.7777777777777777,10,9
top,28.35111111111111,491.09222222222223,1000.0,10,9
all,45.641,1258.6770000000001,0.0,10,10
sway1,42.627,795.7310000000001,9.0,10,10
xpln1,43.92200000000001,1175.8359999999998,9.0,10,10
sway2,42.86600000000001,818.872,1.8,10,10
xpln2,44.94,1193.414,1.8,10,10
top,28.201,526.149,1000.0,10,10
all,45.666363636363634,1251.5709090909093,0.0,10,11
sway1,42.27818181818182,854.7345454545456,9.0,10,11
xpln1,43.48272727272728,1196.8236363636363,9.0,10,11
sway2,43.007272727272735,843.7136363636363,1.9090909090909092,10,11
xpln2,45.02909090909091,1197.4109090909092,1.9090909090909092,10,11
top,28.204545454545453,530.8090909090909,1000.0,10,11
all,45.6875,1255.2941666666668,0.0,10,12
sway1,42.695,884.4683333333336,9.0,10,12
xpln1,43.135833333333345,1243.4199999999998,9.0,10,12
sway2,42.848333333333336,824.4991666666665,1.9166666666666667,10,12
