type,PSNR-,Energy-,Avg evals,budget,run
all,45.67,1237.73,0.0,5,1
sway1,38.63,1037.17,9.0,5,1
xpln1,45.06,1090.41,9.0,5,1
sway2,38.63,1234.66,2.0,5,1
xpln2,45.06,1090.41,2.0,5,1
top,27.66,308.2,1000.0,5,1
all,45.735,1250.255,0.0,5,2
sway1,42.905,1216.76,9.0,5,2
xpln1,43.515,1139.15,9.0,5,2
sway2,39.225,873.24,1.0,5,2
xpln2,45.39,1064.0700000000002,1.0,5,2
top,27.525,435.97,1000.0,5,2
all,45.77333333333333,1237.5800000000002,0.0,5,3
sway1,46.01333333333333,986.3466666666667,9.0,5,3
xpln1,44.75333333333333,1112.1633333333334,9.0,5,3
sway2,41.45333333333333,1090.6166666666666,1.6666666666666667,5,3
xpln2,45.586666666666666,1071.0366666666669,1.6666666666666667,5,3
top,27.123333333333335,486.16333333333336,1000.0,5,3
all,45.787499999999994,1251.1375,0.0,5,4
sway1,47.9075,1437.4875,9.0,5,4
xpln1,44.0025,1128.89,9.0,5,4
sway2,40.8675,1165.3775,1.75,5,4
xpln2,44.675,1090.5300000000002,1.75,5,4
top,27.142500000000002,464.7125,1000.0,5,4
all,45.815999999999995,1264.902,0.0,5,5
sway1,46.13,1915.946,9.0,5,5
xpln1,43.571999999999996,1501.64,9.0,5,5
sway2,40.507999999999996,1179.176,1.8,5,5
xpln2,44.884,1097.7620000000002,1.8,5,5
top,27.422000000000004,453.65199999999993,1000.0,5,5
all,45.85833333333333,1270.805,0.0,5,6
sway1,45.18166666666667,1828.0883333333331,9.0,5,6
xpln1,43.09166666666666,1761.4800000000002,9.0,5,6
sway2,40.218333333333334,1215.6016666666667,2.0,5,6
xpln2,45.04,1122.5883333333336,2.0,5,6
top,27.745000000000005,439.53833333333324,1000.0,5,6
all,45.865714285714276,1276.1842857142858,0.0,5,7
sway1,45.85000000000001,1651.0657142857142,9.0,5,7
xpln1,43.481428571428566,1680.0314285714287,9.0,5,7
sway2,41.33714285714286,1240.457142857143,2.142857142857143,5,7
xpln2,45.22571428571429,1120.5914285714287,2.142857142857143,5,7
top,27.587142857142858,429.77285714285705,1000.0,5,7
all,45.873749999999994,1286.3312500000002,0.0,5,8
sway1,45.30875,1502.12125,9.0,5,8
