type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,119.28,-12.24,0.0,0.0,10,1
sway1,0.0,0.0,83.33,8.0,10,1
xpln1,0.0,0.0,83.33,8.0,10,1
sway2,0.0,0.0,83.33,3.0,10,1
xpln2,0.0,0.0,83.33,3.0,10,1
top,0.0,0.0,83.33,1000.0,10,1
all,119.305,-12.2,0.0,0.0,10,2
sway1,0.0,0.0,83.33,8.0,10,2
xpln1,0.0,0.0,83.33,8.0,10,2
sway2,0.0,0.0,83.33,3.5,10,2
xpln2,0.0,0.0,83.33,3.5,10,2
top,0.0,0.0,83.33,1000.0,10,2
all,119.24000000000001,-12.219999999999999,0.0,0.0,10,3
sway1,0.0,0.0,83.33,8.0,10,3
xpln1,0.0,0.0,83.33,8.0,10,3
sway2,0.0,0.0,83.33,3.0,10,3
xpln2,0.0,0.0,83.33,3.0,10,3
top,0.0,0.0,83.33,1000.0,10,3
all,119.25250000000001,-12.237499999999999,0.0,0.0,10,4
sway1,0.0,0.0,83.33,8.0,10,4
xpln1,0.0,0.0,83.33,8.0,10,4
sway2,0.0,0.0,83.33,3.25,10,4
xpln2,0.0,0.0,83.33,3.25,10,4
top,0.0,0.0,83.33,1000.0,10,4
all,119.268,-12.229999999999999,0.0,0.0,10,5
sway1,0.0,0.0,83.33,8.0,10,5
xpln1,0.0,0.0,83.33,8.0,10,5
sway2,0.0,0.0,83.33,3.0,10,5
xpln2,0.0,0.0,83.33,3.0,10,5
top,0.0,0.0,83.33,1000.0,10,5
all,119.27833333333335,-12.228333333333332,0.0,0.0,10,6
sway1,0.0,0.0,83.33,8.0,10,6
xpln1,0.0,0.0,83.33,8.0,10,6
sway2,0.0,0.0,83.33,2.8333333333333335,10,6
xpln2,0.0,0.0,83.33,2.8333333333333335,10,6
top,0.0,0.0,83.33,1000.0,10,6
all,119.29285714285716,-12.229999999999999,0.0,0.0,10,7
sway1,0.0,0.0,83.33,8.0,10,7
xpln1,0.0,0.0,83.33,8.0,10,7
sway2,0.0,0.0,83.33,2.4285714285714284,10,7
xpln2,0.0,0.0,83.33,2.4285714285714284,10,7
top,0.0,0.0,83.33,1000.0,10,7
all,119.26875000000001,-12.226249999999999,0.0,0.0,10,8
sway1,0.0,0.0,83.33,8.0,10,8
xpln1,0.0,0.0,83.33,8.0,10,8
sway2,0.0,0.0,83.33,2.125,10,8
xpln2,0.0,0.0,83.33,2.125,10,8
top,0.0,0.0,83.33,1000.0,10,8
all,119.27555555555556,-12.224444444444442,0.0,0.0,10,9
sway1,0.0,0.0,83.33,8.0,10,9
xpln1,0.0,0.0,83.33,8.0,10,9
sway2,0.0,0.0,83.33,2.2222222222222223,10,9
xpln2,0.0,0.0,83.33,2.2222222222222223,10,9
top,0.0,0.0,83.33,1000.0,10,9
all,119.28099999999999,-12.235999999999999,0.0,0.0,10,10
sway1,0.0,0.0,83.33000000000001,8.0,10,10
xpln1,0.0,0.0,83.33000000000001,8.0,10,10
sway2,0.0,0.0,83.33000000000001,2.2,10,10
xpln2,0.0,0.0,83.33000000000001,2.2,10,10
top,0.0,0.0,83.33000000000001,1000.0,10,10
all,119.28090909090908,-12.239999999999998,0.0,0.0,10,11
sway1,9.148181818181818,-0.05909090909090909,75.75454545454546,8.0,10,11
xpln1,0.0,0.0,83.33000000000001,8.0,10,11
sway2,0.0,0.0,83.33000000000001,2.0,10,11
