type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,119.28,-12.24,0.0,0.0,5,1
sway1,0.0,0.0,83.33,8.0,5,1
xpln1,0.0,0.0,83.33,8.0,5,1
sway2,0.0,0.0,83.33,2.0,5,1
xpln2,0.0,-1.2,0.0,2.0,5,1
top,0.0,0.0,83.33,1000.0,5,1
all,119.235,-12.205,0.0,0.0,5,2
sway1,0.0,0.0,83.33,8.0,5,2
xpln1,0.0,0.0,83.33,8.0,5,2
sway2,0.0,0.0,83.33,1.0,5,2
xpln2,0.0,-0.6,41.665,1.0,5,2
top,0.0,0.0,83.33,1000.0,5,2
all,119.25333333333333,-12.216666666666667,0.0,0.0,5,3
sway1,0.0,0.0,83.33,8.0,5,3
xpln1,0.0,0.0,83.33,8.0,5,3
sway2,0.0,0.0,83.33,1.6666666666666667,5,3
xpln2,0.0,-0.39999999999999997,55.553333333333335,1.6666666666666667,5,3
top,0.0,0.0,83.33,1000.0,5,3
all,119.2575,-12.225,0.0,0.0,5,4
sway1,0.0,0.0,83.33,8.0,5,4
xpln1,0.0,0.0,83.33,8.0,5,4
sway2,0.0,0.0,83.33,2.0,5,4
xpln2,0.0,-0.3,62.4975,2.0,5,4
top,0.0,0.0,83.33,1000.0,5,4
all,119.28,-12.203999999999999,0.0,0.0,5,5
sway1,0.0,0.0,83.33,8.0,5,5
xpln1,0.0,0.0,83.33,8.0,5,5
sway2,0.0,0.0,83.33,2.0,5,5
xpln2,0.0,-0.24,66.664,2.0,5,5
top,0.0,0.0,83.33,1000.0,5,5
all,119.23333333333333,-12.209999999999999,0.0,0.0,5,6
sway1,16.785,-0.11666666666666665,69.44166666666666,8.0,5,6
xpln1,0.0,0.0,83.33,8.0,5,6
sway2,0.0,0.0,83.33,2.0,5,6
xpln2,0.0,-0.19999999999999998,69.44166666666666,2.0,5,6
top,0.0,0.0,83.33,1000.0,5,6
all,119.23142857142857,-12.21142857142857,0.0,0.0,5,7
sway1,14.387142857142857,-0.09999999999999999,71.42571428571428,8.0,5,7
xpln1,0.0,0.0,83.33,8.0,5,7
sway2,0.0,0.0,83.33,2.0,5,7
xpln2,14.375714285714285,-0.25857142857142856,59.521428571428565,2.0,5,7
top,0.0,0.0,83.33,1000.0,5,7
all,119.21125,-12.214999999999998,0.0,0.0,5,8
sway1,12.58875,-0.0875,72.91375,8.0,5,8
xpln1,0.0,0.0,83.33,8.0,5,8
sway2,0.0,0.0,83.33,1.75,5,8
xpln2,12.57875,-0.22625,62.497499999999995,1.75,5,8
top,0.0,0.0,83.33,1000.0,5,8
all,119.23333333333335,-12.217777777777776,0.0,0.0,5,9
sway1,11.19,-0.07777777777777778,74.07111111111111,8.0,5,9
xpln1,0.0,0.0,83.33,8.0,5,9
sway2,11.227777777777778,-0.11333333333333334,74.07111111111111,1.7777777777777777,5,9
xpln2,11.181111111111111,-0.20111111111111113,64.81222222222222,1.7777777777777777,5,9
top,0.0,0.0,83.33,1000.0,5,9
all,119.24900000000002,-12.221999999999998,0.0,0.0,5,10
sway1,20.127,-0.125,66.664,8.0,5,10
xpln1,10.067,-0.065,74.997,8.0,5,10
sway2,10.105,-0.10200000000000001,74.997,1.8,5,10
xpln2,10.062999999999999,-0.181,66.664,1.8,5,10
top,0.0,0.0,83.33000000000001,1000.0,5,10
all,119.26727272727275,-12.223636363636361,0.0,0.0,5,11
sway1,27.44909090909091,-0.17272727272727273,60.60363636363636,8.0,5,11
xpln1,9.151818181818182,-0.11818181818181818,68.17909090909092,8.0,5,11
sway2,9.186363636363636,-0.09272727272727273,75.75454545454546,1.8181818181818181,5,11
xpln2,9.148181818181818,-0.16454545454545455,68.17909090909092,1.8181818181818181,5,11
top,0.0,0.0,83.33000000000001,1000.0,5,11
all,119.2566666666667,-12.229166666666664,0.0,0.0,5,12
sway1,25.161666666666665,-0.15833333333333333,62.4975,8.0,5,12
xpln1,8.389166666666666,-0.10833333333333334,69.44166666666668,8.0,5,12
sway2,16.800833333333333,-0.13083333333333333,69.44166666666668,1.6666666666666667,5,12
xpln2,8.385833333333332,-0.15083333333333335,69.44166666666668,1.6666666666666667,5,12
top,0.0,0.0,83.33000000000001,1000.0,5,12
all,119.26769230769234,-12.227692307692307,0.0,0.0,5,13
sway1,23.226153846153846,-0.14615384615384613,64.10000000000001,8.0,5,13
xpln1,7.743846153846154,-0.1,70.51,8.0,5,13
sway2,23.24615384615385,-0.16538461538461538,64.10000000000001,1.5384615384615385,5,13
xpln2,7.740769230769231,-0.13923076923076924,70.51,1.5384615384615385,5,13
