type,NUMBERITERATIONS-,TIMETOSOLUTION-,Avg evals,budget,run
all,6.0,133.54,0.0,10,1
sway1,5.0,108.09,10.0,10,1
xpln1,5.0,122.14,10.0,10,1
sway2,5.0,144.22,2.0,10,1
xpln2,5.0,133.19,2.0,10,1
top,4.0,71.9,1000.0,10,1
all,6.5,135.26999999999998,0.0,10,2
sway1,4.5,144.17000000000002,10.0,10,2
xpln1,4.5,132.81,10.0,10,2
sway2,5.0,121.77,2.0,10,2
xpln2,5.0,117.13,2.0,10,2
top,4.0,72.185,1000.0,10,2
all,6.333333333333333,135.11999999999998,0.0,10,3
sway1,7.666666666666667,152.94333333333336,10.0,10,3
xpln1,4.666666666666667,135.9466666666667,10.0,10,3
sway2,5.0,111.83333333333333,2.6666666666666665,10,3
xpln2,5.0,112.25,2.6666666666666665,10,3
top,4.0,71.56666666666666,1000.0,10,3
all,6.5,135.3725,0.0,10,4
sway1,6.75,139.8925,10.0,10,4
xpln1,4.75,130.92000000000002,10.0,10,4
sway2,5.25,107.89750000000001,3.0,10,4
xpln2,5.0,108.9975,3.0,10,4
top,4.0,72.365,1000.0,10,4
all,6.6,135.416,0.0,10,5
sway1,6.4,129.56400000000002,10.0,10,5
xpln1,4.8,126.80400000000002,10.0,10,5
sway2,5.2,105.296,3.2,10,5
xpln2,5.0,109.47999999999999,3.2,10,5
top,4.0,72.25399999999999,1000.0,10,5
all,6.666666666666667,135.42166666666665,0.0,10,6
sway1,6.166666666666667,126.99000000000001,10.0,10,6
xpln1,5.166666666666667,128.51833333333335,10.0,10,6
sway2,5.166666666666667,101.78666666666668,3.1666666666666665,10,6
xpln2,5.0,107.07833333333333,3.1666666666666665,10,6
top,4.0,72.70666666666666,1000.0,10,6
all,6.714285714285714,135.7785714285714,0.0,10,7
sway1,6.0,125.08000000000001,10.0,10,7
xpln1,5.285714285714286,130.94000000000003,10.0,10,7
sway2,5.285714285714286,101.81857142857143,3.0,10,7
xpln2,5.0,107.7757142857143,3.0,10,7
top,4.0,73.69857142857143,1000.0,10,7
all,6.75,134.9775,0.0,10,8
sway1,5.75,125.18375,10.0,10,8
xpln1,5.25,131.13750000000002,10.0,10,8
sway2,5.5,98.54,2.875,10,8
xpln2,5.125,105.28375000000001,2.875,10,8
top,4.0,74.0075,1000.0,10,8
all,6.777777777777778,134.78333333333333,0.0,10,9
sway1,5.555555555555555,122.61555555555555,10.0,10,9
xpln1,5.222222222222222,127.81555555555558,10.0,10,9
sway2,5.444444444444445,99.7188888888889,2.888888888888889,10,9
xpln2,5.111111111111111,108.5977777777778,2.888888888888889,10,9
top,4.0,73.23777777777778,1000.0,10,9
all,6.8,134.66199999999998,0.0,10,10
sway1,5.7,118.476,10.0,10,10
