type,NUMBERITERATIONS-,TIMETOSOLUTION-,Avg evals,budget,run
all,6.0,133.54,0.0,5,1
sway1,5.0,110.4,10.0,5,1
xpln1,5.0,133.27,10.0,5,1
sway2,6.0,107.1,3.0,5,1
xpln2,5.0,107.1,3.0,5,1
top,4.0,69.93,1000.0,5,1
all,6.5,131.57,0.0,5,2
sway1,6.0,103.65,10.0,5,2
xpln1,5.5,122.66,10.0,5,2
sway2,6.0,91.3,3.0,5,2
xpln2,5.0,103.21,3.0,5,2
top,4.0,68.295,1000.0,5,2
all,6.333333333333333,132.63666666666666,0.0,5,3
sway1,5.333333333333333,110.94,10.0,5,3
xpln1,5.333333333333333,114.78666666666668,10.0,5,3
sway2,6.0,95.83333333333333,3.6666666666666665,5,3
xpln2,5.0,104.76666666666665,3.6666666666666665,5,3
top,3.6666666666666665,68.7,1000.0,5,3
all,6.5,133.3775,0.0,5,4
sway1,6.0,141.7725,10.0,5,4
xpln1,5.25,121.2175,10.0,5,4
sway2,5.75,105.41749999999999,3.5,5,4
xpln2,5.0,110.16499999999999,3.5,5,4
top,3.75,68.45750000000001,1000.0,5,4
all,6.6,133.19400000000002,0.0,5,5
sway1,5.6,140.26000000000002,10.0,5,5
xpln1,5.4,123.90799999999999,10.0,5,5
sway2,6.0,107.30199999999999,3.2,5,5
xpln2,5.0,111.074,3.2,5,5
top,3.8,67.14200000000001,1000.0,5,5
all,6.666666666666667,134.34,0.0,5,6
sway1,5.5,136.57500000000002,10.0,5,6
xpln1,5.333333333333333,121.15499999999999,10.0,5,6
sway2,5.833333333333333,107.735,3.5,5,6
xpln2,5.166666666666667,110.38833333333334,3.5,5,6
top,3.8333333333333335,68.44833333333334,1000.0,5,6
all,6.714285714285714,134.57857142857142,0.0,5,7
sway1,5.428571428571429,130.70428571428573,10.0,5,7
xpln1,5.285714285714286,119.45142857142856,10.0,5,7
sway2,6.0,105.10142857142856,3.2857142857142856,5,7
xpln2,5.285714285714286,109.51857142857143,3.2857142857142856,5,7
top,3.857142857142857,69.25142857142858,1000.0,5,7
all,6.625,134.43875,0.0,5,8
sway1,5.375,130.695,10.0,5,8
xpln1,5.25,116.67375,10.0,5,8
sway2,5.875,105.55749999999999,3.25,5,8
xpln2,5.375,106.8075,3.25,5,8
top,3.875,67.91000000000001,1000.0,5,8
all,6.666666666666667,134.82555555555555,0.0,5,9
sway1,5.333333333333333,126.7111111111111,10.0,5,9
xpln1,5.222222222222222,116.97666666666666,10.0,5,9
sway2,5.777777777777778,104.8611111111111,3.3333333333333335,5,9
xpln2,5.444444444444445,104.66000000000001,3.3333333333333335,5,9
top,3.888888888888889,66.9288888888889,1000.0,5,9
all,6.7,135.523,0.0,5,10
sway1,5.3,121.907,10.0,5,10
xpln1,5.3,116.556,10.0,5,10
sway2,5.7,102.875,3.5,5,10
xpln2,5.5,102.856,3.5,5,10
top,3.9,66.59100000000001,1000.0,5,10
all,6.7272727272727275,135.5090909090909,0.0,5,11
sway1,5.181818181818182,122.26727272727273,10.0,5,11
xpln1,5.2727272727272725,117.5490909090909,10.0,5,11
sway2,5.636363636363637,103.15818181818182,3.6363636363636362,5,11
xpln2,5.454545454545454,103.36090909090909,3.6363636363636362,5,11
top,3.909090909090909,67.69545454545455,1000.0,5,11
all,6.75,135.35416666666666,0.0,5,12
sway1,5.166666666666667,120.96333333333332,10.0,5,12
xpln1,5.333333333333333,114.8825,10.0,5,12
sway2,5.583333333333333,100.8975,3.75,5,12
xpln2,5.5,101.87666666666667,3.75,5,12
top,3.9166666666666665,67.87500000000001,1000.0,5,12
all,6.769230769230769,135.02461538461537,0.0,5,13
sway1,5.153846153846154,118.9276923076923,10.0,5,13
xpln1,5.3076923076923075,117.12846153846152,10.0,5,13
sway2,5.6923076923076925,103.72076923076922,3.923076923076923,5,13
xpln2,5.461538461538462,102.28076923076924,3.923076923076923,5,13
top,3.923076923076923,67.81692307692309,1000.0,5,13
all,6.785714285714286,134.965,0.0,5,14
sway1,5.142857142857143,118.38642857142857,10.0,5,14
xpln1,7.0,144.90285714285713,10.0,5,14
sway2,5.714285714285714,106.17285714285713,3.9285714285714284,5,14
xpln2,5.428571428571429,104.52357142857144,3.9285714285714284,5,14
top,3.9285714285714284,67.58428571428571,1000.0,5,14
all,6.8,135.10066666666665,0.0,5,15
sway1,5.466666666666667,121.32933333333332,10.0,5,15
xpln1,6.933333333333334,143.59333333333333,10.0,5,15
sway2,5.666666666666667,106.01866666666665,3.8666666666666667,5,15
xpln2,5.4,104.10400000000001,3.8666666666666667,5,15
top,3.8666666666666667,67.994,1000.0,5,15
all,6.8125,135.024375,0.0,5,16
sway1,5.4375,123.269375,10.0,5,16
xpln1,6.8125,141.785,10.0,5,16
sway2,5.625,105.90687499999999,3.8125,5,16
xpln2,5.4375,104.61312500000001,3.8125,5,16
top,3.875,68.34562500000001,1000.0,5,16
all,6.764705882352941,135.0,0.0,5,17
sway1,5.352941176470588,123.78764705882352,10.0,5,17
xpln1,6.764705882352941,143.39470588235295,10.0,5,17
sway2,5.588235294117647,104.74176470588233,3.823529411764706,5,17
xpln2,5.411764705882353,104.43529411764706,3.823529411764706,5,17
top,3.8823529411764706,68.27058823529413,1000.0,5,17
