type,NUMBERITERATIONS-,TIMETOSOLUTION-,Avg evals,budget,run
all,6.722222222222222,135.19388888888886,0.0,5,18
sway1,5.388888888888889,121.08444444444444,10.0,5,18
xpln1,6.722222222222222,140.87944444444443,10.0,5,18
sway2,5.666666666666667,106.90555555555554,3.7777777777777777,5,18
xpln2,5.388888888888889,104.60111111111112,3.7777777777777777,5,18
top,3.888888888888889,67.9888888888889,1000.0,5,18
all,6.7368421052631575,135.04421052631577,0.0,5,19
sway1,5.315789473684211,120.68894736842105,10.0,5,19
xpln1,6.684210526315789,139.30421052631579,10.0,5,19
sway2,5.7368421052631575,110.2536842105263,3.6842105263157894,5,19
xpln2,5.368421052631579,105.08894736842106,3.6842105263157894,5,19
top,3.8947368421052633,68.19105263157896,1000.0,5,19
all,6.75,134.707,0.0,5,20
sway1,5.4,122.85500000000002,10.0,5,20
xpln1,6.6,137.73449999999997,10.0,5,20
sway2,5.65,111.57499999999997,3.7,5,20
xpln2,5.35,105.8555,3.7,5,20
top,3.9,68.30600000000001,1000.0,5,20
