type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,75.34,7.16,25.0,0.0,20,1
sway1,73.5,7.6,25.0,8.0,20,1
xpln1,73.94,7.47,25.0,8.0,20,1
sway2,73.21,7.69,25.0,0.0,20,1
xpln2,73.81,7.54,25.0,0.0,20,1
top,67.67,9.97,25.0,1000.0,20,1
all,75.285,7.125,25.0,0.0,20,2
sway1,73.265,7.665,25.0,8.0,20,2
xpln1,73.75999999999999,7.515,25.0,8.0,20,2
sway2,73.475,7.67,25.0,0.0,20,2
xpln2,73.765,7.55,25.0,0.0,20,2
top,68.08500000000001,9.855,25.0,1000.0,20,2
all,75.02333333333333,7.153333333333333,25.0,0.0,20,3
sway1,73.32666666666667,7.640000000000001,25.0,8.0,20,3
xpln1,73.77999999999999,7.510000000000001,25.0,8.0,20,3
sway2,73.45,7.609999999999999,25.0,0.6666666666666666,20,3
xpln2,73.78,7.539999999999999,25.0,0.6666666666666666,20,3
top,67.73333333333333,9.85,25.0,1000.0,20,3
all,74.97999999999999,7.140000000000001,25.0,0.0,20,4
sway1,73.0875,7.695,25.0,8.0,20,4
xpln1,73.35499999999999,7.6450000000000005,25.0,8.0,20,4
sway2,80.0875,5.7075,28.125,1.0,20,4
xpln2,80.33500000000001,5.654999999999999,28.125,1.0,20,4
top,67.7175,9.95,25.0,1000.0,20,4
all,74.97599999999998,7.15,25.0,0.0,20,5
sway1,73.2,7.662000000000001,25.0,8.0,20,5
xpln1,73.43199999999999,7.626,25.0,8.0,20,5
sway2,78.66600000000001,6.119999999999999,27.5,1.2,20,5
xpln2,79.016,6.034,27.5,1.2,20,5
top,67.578,9.94,25.0,1000.0,20,5
all,74.98666666666666,7.1499999999999995,25.0,0.0,20,6
sway1,73.10833333333333,7.716666666666668,25.0,8.0,20,6
xpln1,73.46999999999998,7.616666666666667,25.0,8.0,20,6
sway2,77.92666666666668,6.364999999999999,27.083333333333332,1.3333333333333333,20,6
xpln2,78.12333333333333,6.289999999999999,27.083333333333332,1.3333333333333333,20,6
top,67.445,9.898333333333332,25.0,1000.0,20,6
all,75.01714285714286,7.14,25.0,0.0,20,7
sway1,73.13571428571429,7.682857142857143,25.0,8.0,20,7
xpln1,73.53571428571429,7.597142857142858,25.0,8.0,20,7
sway2,77.31714285714285,6.529999999999999,26.785714285714285,1.1428571428571428,20,7
xpln2,77.52428571428572,6.46,26.785714285714285,1.1428571428571428,20,7
top,67.49,9.902857142857142,25.0,1000.0,20,7
all,75.035,7.128749999999999,25.0,0.0,20,8
sway1,73.28,7.640000000000001,25.0,8.0,20,8
xpln1,73.55,7.592500000000001,25.0,8.0,20,8
sway2,76.83500000000001,6.6587499999999995,26.5625,1.25,20,8
xpln2,77.04,6.5975,26.5625,1.25,20,8
top,67.695,9.792499999999999,25.0,1000.0,20,8
all,75.03666666666666,7.134444444444444,25.0,0.0,20,9
sway1,73.26333333333334,7.603333333333334,25.0,8.0,20,9
xpln1,73.57,7.587777777777778,25.0,8.0,20,9
sway2,76.34444444444445,6.782222222222221,26.38888888888889,1.3333333333333333,20,9
xpln2,76.65666666666668,6.706666666666667,26.38888888888889,1.3333333333333333,20,9
top,67.48333333333332,9.878888888888888,25.0,1000.0,20,9
all,75.00899999999999,7.13,25.0,0.0,20,10
sway1,73.382,7.543000000000001,22.5,8.0,20,10
xpln1,73.592,7.577000000000001,25.0,8.0,20,10
sway2,76.137,6.834999999999999,26.25,1.4,20,10
xpln2,76.376,6.784999999999999,26.25,1.4,20,10
top,67.42399999999999,9.867,25.0,1000.0,20,10
all,74.9890909090909,7.137272727272727,25.0,0.0,20,11
sway1,73.36,7.544545454545456,22.727272727272727,8.0,20,11
xpln1,73.6,7.572727272727274,25.0,8.0,20,11
sway2,78.30636363636364,6.213636363636363,27.272727272727273,1.2727272727272727,20,11
xpln2,78.52363636363637,6.168181818181818,27.272727272727273,1.2727272727272727,20,11
top,67.35545454545453,9.973636363636365,25.0,1000.0,20,11
all,74.98249999999999,7.134166666666665,25.0,0.0,20,12
sway1,73.37916666666668,7.54,22.916666666666668,8.0,20,12
xpln1,73.62083333333332,7.566666666666667,25.0,8.0,20,12
sway2,77.89083333333333,6.334166666666666,27.083333333333332,1.4166666666666667,20,12
xpln2,78.10833333333333,6.290833333333333,27.083333333333332,1.4166666666666667,20,12
top,67.38916666666665,9.979166666666666,25.0,1000.0,20,12
all,75.00692307692306,7.127692307692306,25.0,0.0,20,13
sway1,73.37384615384616,7.548461538461539,23.076923076923077,8.0,20,13
xpln1,73.61846153846153,7.567692307692308,25.0,8.0,20,13
sway2,77.53538461538461,6.438461538461538,26.923076923076923,1.4615384615384615,20,13
xpln2,77.77076923076923,6.387692307692307,26.923076923076923,1.4615384615384615,20,13
top,67.33692307692307,9.983846153846153,25.0,1000.0,20,13
all,74.99642857142855,7.1307142857142845,25.0,0.0,20,14
sway1,73.4307142857143,7.530000000000001,23.214285714285715,8.0,20,14
xpln1,73.62428571428572,7.566428571428572,25.0,8.0,20,14
sway2,77.23857142857143,6.506428571428571,26.785714285714285,1.5,20,14
xpln2,77.47857142857143,6.473571428571428,26.785714285714285,1.5,20,14
top,67.33571428571427,9.957857142857142,25.0,1000.0,20,14
all,75.00533333333333,7.132666666666665,25.0,0.0,20,15
sway1,73.49400000000001,7.5133333333333345,23.333333333333332,8.0,20,15
xpln1,73.634,7.5633333333333335,25.0,8.0,20,15
sway2,76.99133333333334,6.578666666666666,26.666666666666668,1.5333333333333334,20,15
xpln2,77.23133333333334,6.543333333333333,26.666666666666668,1.5333333333333334,20,15
top,67.30599999999998,9.996666666666666,25.0,1000.0,20,15
all,74.99687499999999,7.136874999999999,25.0,0.0,20,16
sway1,73.48250000000002,7.522500000000001,23.4375,8.0,20,16
xpln1,73.643125,7.563125,25.0,8.0,20,16
sway2,76.79812500000001,6.6343749999999995,26.5625,1.4375,20,16
xpln2,77.010625,6.60875,26.5625,1.4375,20,16
top,67.28937499999999,9.981874999999999,25.0,1000.0,20,16
all,74.99058823529411,7.1352941176470575,25.0,0.0,20,17
sway1,73.5629411764706,7.525882352941177,22.794117647058822,8.0,20,17
xpln1,73.65764705882353,7.5600000000000005,25.0,8.0,20,17
sway2,76.58823529411767,6.668235294117646,26.470588235294116,1.3529411764705883,20,17
xpln2,76.8229411764706,6.661764705882353,26.470588235294116,1.3529411764705883,20,17
top,67.26588235294118,9.989411764705881,25.0,1000.0,20,17
all,74.9972222222222,7.131666666666665,25.0,0.0,20,18
sway1,73.57222222222224,7.518888888888889,22.916666666666668,8.0,20,18
xpln1,73.66055555555556,7.560555555555556,25.0,8.0,20,18
sway2,76.42555555555558,6.71611111111111,26.38888888888889,1.2777777777777777,20,18
xpln2,76.65333333333334,6.709444444444444,26.38888888888889,1.2777777777777777,20,18
top,67.31777777777778,10.055555555555555,25.0,1000.0,20,18
all,75.01526315789472,7.13578947368421,25.0,0.0,20,19
sway1,73.55631578947369,7.522631578947369,23.026315789473685,8.0,20,19
xpln1,73.6584210526316,7.561578947368422,25.0,8.0,20,19
sway2,76.24473684210528,6.758947368421052,26.31578947368421,1.2105263157894737,20,19
xpln2,76.49368421052633,6.755263157894737,26.31578947368421,1.2105263157894737,20,19
top,67.32894736842105,10.027894736842105,25.0,1000.0,20,19
