type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,75.34,7.16,25.0,0.0,10,1
sway1,72.95,7.61,25.0,8.0,10,1
xpln1,73.94,7.47,25.0,8.0,10,1
sway2,72.73,7.45,25.0,0.0,10,1
xpln2,74.0,7.48,25.0,0.0,10,1
top,65.86,10.32,25.0,1000.0,10,1
all,75.5,7.165,25.0,0.0,10,2
sway1,73.045,7.665,25.0,8.0,10,2
xpln1,73.935,7.48,25.0,8.0,10,2
sway2,73.93,7.245,12.5,1.5,10,2
xpln2,73.965,7.485,25.0,1.5,10,2
top,65.825,10.18,25.0,1000.0,10,2
all,75.24,7.1499999999999995,25.0,0.0,10,3
sway1,73.69666666666667,7.41,16.666666666666668,8.0,10,3
xpln1,73.91000000000001,7.486666666666667,25.0,8.0,10,3
sway2,73.55666666666667,7.413333333333334,16.666666666666668,1.6666666666666667,10,3
xpln2,73.93,7.489999999999999,25.0,1.6666666666666667,10,3
top,65.75333333333333,12.88,25.0,1000.0,10,3
all,75.155,7.13,25.0,0.0,10,4
sway1,72.905,7.655,18.75,8.0,10,4
xpln1,73.9075,7.495,25.0,8.0,10,4
sway2,73.3775,7.5125,18.75,1.75,10,4
xpln2,73.88250000000001,7.5,25.0,1.75,10,4
top,65.7625,12.205,25.0,1000.0,10,4
all,75.15,7.132,25.0,0.0,10,5
sway1,72.9,7.674000000000001,20.0,8.0,10,5
xpln1,73.866,7.508,25.0,8.0,10,5
sway2,73.57000000000001,7.478,15.0,1.8,10,5
xpln2,73.85600000000001,7.518000000000001,25.0,1.8,10,5
top,66.016,12.468,25.0,1000.0,10,5
all,75.125,7.129999999999999,25.0,0.0,10,6
sway1,73.03833333333334,7.650000000000001,20.833333333333332,8.0,10,6
xpln1,73.86833333333333,7.506666666666667,25.0,8.0,10,6
sway2,73.325,7.545000000000001,16.666666666666668,1.8333333333333333,10,6
xpln2,73.84833333333334,7.523333333333333,25.0,1.8333333333333333,10,6
top,66.11166666666668,12.063333333333333,25.0,1000.0,10,6
all,75.09142857142857,7.13,25.0,0.0,10,7
sway1,73.09714285714286,7.63857142857143,21.428571428571427,8.0,10,7
xpln1,73.89428571428572,7.4957142857142856,25.0,8.0,10,7
sway2,73.40142857142858,7.5200000000000005,17.857142857142858,1.8571428571428572,10,7
xpln2,73.82428571428571,7.53,25.0,1.8571428571428572,10,7
top,65.8357142857143,12.031428571428572,25.0,1000.0,10,7
all,75.08375,7.128749999999999,25.0,0.0,10,8
sway1,73.3625,7.561250000000001,18.75,8.0,10,8
xpln1,73.865,7.51,25.0,8.0,10,8
sway2,73.46875,7.505,18.75,1.875,10,8
xpln2,73.82124999999999,7.5275,25.0,1.875,10,8
top,66.36250000000001,12.495,25.0,1000.0,10,8
all,75.07222222222222,7.118888888888888,25.0,0.0,10,9
sway1,73.43888888888888,7.535555555555557,19.444444444444443,8.0,10,9
xpln1,73.85444444444444,7.51111111111111,25.0,8.0,10,9
sway2,73.45666666666666,7.543333333333333,19.444444444444443,1.6666666666666667,10,9
xpln2,73.76666666666667,7.542222222222222,25.0,1.6666666666666667,10,9
top,65.93333333333334,12.341111111111111,25.0,1000.0,10,9
all,75.06,7.117999999999999,25.0,0.0,10,10
sway1,73.371,7.55,20.0,8.0,10,10
xpln1,73.847,7.511999999999999,25.0,8.0,10,10
sway2,73.326,7.587000000000001,20.0,1.5,10,10
xpln2,73.768,7.539999999999999,25.0,1.5,10,10
top,65.91900000000001,12.225,25.0,1000.0,10,10
all,75.04272727272728,7.113636363636363,25.0,0.0,10,11
sway1,73.31,7.541818181818181,20.454545454545453,8.0,10,11
xpln1,73.86545454545454,7.501818181818181,25.0,8.0,10,11
sway2,73.40272727272726,7.568181818181818,20.454545454545453,1.5454545454545454,10,11
xpln2,73.75272727272727,7.546363636363636,25.0,1.5454545454545454,10,11
top,65.63818181818182,12.113636363636363,25.0,1000.0,10,11
all,75.04166666666667,7.1191666666666675,25.0,0.0,10,12
sway1,73.34833333333333,7.539999999999999,20.833333333333332,8.0,10,12
xpln1,73.865,7.501666666666666,25.0,8.0,10,12
sway2,73.44083333333333,7.545833333333333,20.833333333333332,1.4166666666666667,10,12
xpln2,73.76166666666667,7.5424999999999995,25.0,1.4166666666666667,10,12
top,65.63583333333334,12.024166666666666,25.0,1000.0,10,12
all,75.04615384615384,7.123846153846155,25.0,0.0,10,13
sway1,73.39307692307692,7.531538461538461,21.153846153846153,8.0,10,13
xpln1,73.85230769230769,7.507692307692308,25.0,8.0,10,13
