type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
sway1,44.666666666666664,48.666666666666664,1736.3333333333333,8.413333333333336,3.0,10,15
xpln1,30.266666666666666,36.06666666666667,1766.0,8.580000000000002,3.0,10,15
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,15
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,15
top,46.0,50.0,1695.0,8.400000000000002,69.75,10,15
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,16
sway1,43.9375,47.9375,1755.625,8.412500000000001,3.2,10,16
xpln1,29.9375,35.6875,1811.25,8.725000000000001,3.2,10,16
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,16
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,16
top,46.0,50.0,1695.0,8.400000000000002,74.4,10,16
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,17
sway1,44.05882352941177,48.05882352941177,1752.0588235294117,8.411764705882355,3.4,10,17
xpln1,29.941176470588236,35.705882352941174,1804.4117647058824,8.705882352941178,3.4,10,17
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,17
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,17
top,46.0,50.0,1695.0,8.400000000000002,79.05,10,17
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,18
sway1,44.166666666666664,48.166666666666664,1748.888888888889,8.411111111111113,3.6,10,18
xpln1,29.944444444444443,35.72222222222222,1798.3333333333333,8.68888888888889,3.6,10,18
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,18
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,18
top,46.0,50.0,1695.0,8.400000000000002,83.7,10,18
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,19
sway1,43.473684210526315,47.36842105263158,1753.9473684210527,8.357894736842107,3.8,10,19
xpln1,29.526315789473685,35.36842105263158,1846.3157894736842,8.96842105263158,3.8,10,19
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,19
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,19
top,46.0,50.0,1695.0,8.400000000000002,88.35,10,19
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,20
sway1,42.85,46.65,1758.5,8.310000000000002,4.0,10,20
xpln1,29.5,35.25,1871.25,9.020000000000001,4.0,10,20
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,20
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,20
top,46.0,50.0,1695.0,8.400000000000002,93.0,10,20
