type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
all,21.0,28.0,3040.0,17.7,0.0,6,1
sway1,25.0,33.0,2295.0,10.0,0.2,6,1
xpln1,29.0,33.0,2345.0,10.0,0.2,6,1
sway2,29.0,33.0,2295.0,10.3,0.1,6,1
xpln2,29.0,33.0,2345.0,10.0,0.1,6,1
top,33.0,41.0,2045.0,8.6,4.65,6,1
all,21.0,28.0,3040.0,17.7,0.0,6,2
sway1,23.5,31.0,2457.5,10.0,0.4,6,2
xpln1,29.0,33.0,2345.0,10.0,0.4,6,2
sway2,29.0,33.0,2295.0,10.3,0.2,6,2
xpln2,29.0,33.0,2345.0,10.0,0.2,6,2
top,33.0,41.0,2045.0,8.6,9.3,6,2
all,21.0,28.0,3040.0,17.7,0.0,6,3
sway1,24.0,30.666666666666668,2320.0,9.533333333333333,0.6,6,3
xpln1,29.0,33.0,2310.0,9.533333333333333,0.6,6,3
sway2,26.0,30.666666666666668,2525.0,16.433333333333334,0.35,6,3
xpln2,27.0,32.0,2553.3333333333335,11.933333333333332,0.35,6,3
top,33.0,41.0,2045.0,8.6,13.95,6,3
all,21.0,28.0,3040.0,17.7,0.0,6,4
sway1,25.25,31.25,2321.25,9.425,0.8,6,4
xpln1,29.0,33.0,2318.75,9.65,0.8,6,4
sway2,25.75,31.25,2503.75,14.825,0.45,6,4
xpln2,27.5,32.25,2501.25,11.45,0.45,6,4
top,33.0,41.0,2045.0,8.6,18.6,6,4
all,21.0,28.0,3040.0,17.7,0.0,6,5
sway1,25.4,31.6,2327.0,9.540000000000001,1.0,6,5
xpln1,28.0,32.6,2393.0,10.4,1.0,6,5
sway2,25.0,30.8,2512.0,13.86,0.55,6,5
xpln2,27.8,32.4,2470.0,11.16,0.55,6,5
top,33.0,41.0,2045.0,8.6,23.25,6,5
all,21.0,28.0,3040.0,17.7,0.0,6,6
sway1,26.0,31.833333333333332,2330.8333333333335,9.966666666666667,1.2,6,6
xpln1,28.166666666666668,32.666666666666664,2385.8333333333335,10.383333333333333,1.2,6,6
sway2,25.666666666666668,31.833333333333332,2480.8333333333335,13.266666666666666,0.65,6,6
xpln2,28.0,32.5,2449.1666666666665,10.966666666666667,0.65,6,6
top,33.0,41.0,2045.0,8.6,27.9,6,6
all,21.0,28.0,3040.0,17.7,0.0,6,7
sway1,26.857142857142858,32.57142857142857,2290.0,9.771428571428572,1.4,6,7
xpln1,28.285714285714285,32.714285714285715,2380.0,10.328571428571427,1.4,6,7
sway2,25.571428571428573,32.0,2446.4285714285716,12.671428571428569,0.75,6,7
xpln2,28.142857142857142,32.57142857142857,2434.285714285714,10.828571428571427,0.75,6,7
top,33.0,41.0,2045.0,8.6,32.55,6,7
all,21.0,28.0,3040.0,17.7,0.0,6,8
sway1,27.125,32.625,2290.625,9.600000000000001,1.6,6,8
xpln1,28.375,32.75,2375.625,10.2875,1.6,6,8
sway2,27.625,33.75,2431.25,12.374999999999998,0.85,6,8
xpln2,28.25,32.625,2423.125,10.725,0.85,6,8
top,33.0,41.0,2045.0,8.6,37.2,6,8
all,21.0,28.0,3040.0,17.7,0.0,6,9
sway1,27.666666666666668,33.111111111111114,2254.4444444444443,9.466666666666669,1.8,6,9
xpln1,28.666666666666668,33.22222222222222,2338.8888888888887,10.077777777777778,1.8,6,9
sway2,27.333333333333332,33.666666666666664,2416.1111111111113,12.01111111111111,0.95,6,9
xpln2,28.333333333333332,32.666666666666664,2412.222222222222,10.622222222222222,0.95,6,9
top,33.0,41.0,2045.0,8.6,41.85,6,9
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,10
sway1,27.8,33.1,2264.0,9.530000000000001,2.0,6,10
xpln1,28.7,33.5,2333.5,10.05,2.0,6,10
sway2,27.2,33.6,2409.0,11.809999999999999,1.05,6,10
xpln2,28.4,32.7,2398.0,10.48,1.05,6,10
top,33.0,41.0,2045.0,8.599999999999998,46.5,6,10
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,11
sway1,27.272727272727273,32.63636363636363,2304.5454545454545,9.872727272727273,2.2,6,11
xpln1,28.181818181818183,33.18181818181818,2355.4545454545455,10.172727272727274,2.2,6,11
sway2,26.545454545454547,32.90909090909091,2470.4545454545455,12.509090909090906,1.2,6,11
xpln2,27.90909090909091,32.45454545454545,2450.0,10.963636363636363,1.2,6,11
top,33.0,41.0,2045.0,8.599999999999998,51.15,6,11
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,12
sway1,27.75,33.0,2282.9166666666665,9.766666666666667,2.4,6,12
xpln1,28.416666666666668,33.5,2329.5833333333335,10.025,2.4,6,12
sway2,26.75,32.916666666666664,2455.8333333333335,12.324999999999998,1.3,6,12
xpln2,28.0,32.5,2441.25,10.883333333333333,1.3,6,12
top,33.0,41.0,2045.0,8.599999999999998,55.8,6,12
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,13
sway1,28.0,33.0,2288.076923076923,9.707692307692309,2.6,6,13
xpln1,28.46153846153846,33.46153846153846,2330.769230769231,10.023076923076925,2.6,6,13
sway2,26.923076923076923,32.92307692307692,2439.230769230769,12.023076923076921,1.4,6,13
xpln2,28.076923076923077,32.53846153846154,2432.3076923076924,10.8,1.4,6,13
top,33.0,41.0,2045.0,8.599999999999998,60.45,6,13
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,14
sway1,28.071428571428573,33.0,2284.6428571428573,9.664285714285715,2.8,6,14
xpln1,28.5,33.42857142857143,2311.0714285714284,9.921428571428573,2.8,6,14
sway2,26.642857142857142,32.714285714285715,2485.3571428571427,12.557142857142855,1.55,6,14
xpln2,27.714285714285715,32.357142857142854,2470.714285714286,11.157142857142858,1.55,6,14
top,33.0,41.0,2045.0,8.599999999999998,65.1,6,14
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,15
sway1,28.133333333333333,33.0,2281.6666666666665,9.573333333333334,3.0,6,15
xpln1,28.6,33.666666666666664,2306.3333333333335,9.833333333333334,3.0,6,15
sway2,26.6,32.733333333333334,2472.0,12.293333333333331,1.65,6,15
xpln2,27.333333333333332,32.13333333333333,2462.3333333333335,11.080000000000002,1.65,6,15
top,33.0,41.0,2045.0,8.599999999999998,69.75,6,15
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,16
sway1,28.8125,33.625,2261.875,9.512500000000001,3.2,6,16
xpln1,28.625,33.625,2308.75,9.84375,3.2,6,16
sway2,26.6875,32.9375,2462.8125,12.16875,1.75,6,16
xpln2,27.4375,32.1875,2455.0,11.031250000000002,1.75,6,16
top,33.0,41.0,2045.0,8.599999999999998,74.4,6,16
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,17
sway1,28.823529411764707,33.588235294117645,2263.823529411765,9.541176470588237,3.4,6,17
xpln1,28.647058823529413,33.588235294117645,2310.8823529411766,9.852941176470589,3.4,6,17
sway2,26.352941176470587,32.64705882352941,2496.764705882353,12.48235294117647,1.9,6,17
xpln2,27.176470588235293,32.05882352941177,2485.294117647059,11.311764705882355,1.9,6,17
top,33.0,41.0,2045.0,8.599999999999998,79.05,6,17
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,18
sway1,28.833333333333332,33.611111111111114,2265.0,9.488888888888889,3.6,6,18
xpln1,28.61111111111111,33.611111111111114,2312.777777777778,9.86111111111111,3.6,6,18
sway2,26.5,32.666666666666664,2467.222222222222,12.266666666666666,2.0,6,18
xpln2,27.27777777777778,32.111111111111114,2473.3333333333335,11.194444444444446,2.0,6,18
top,33.0,41.0,2045.0,8.599999999999998,83.7,6,18
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,19
sway1,28.842105263157894,33.578947368421055,2266.5789473684213,9.531578947368422,3.8,6,19
xpln1,28.63157894736842,33.578947368421055,2313.4210526315787,9.857894736842105,3.8,6,19
sway2,26.42105263157895,32.68421052631579,2471.315789473684,12.242105263157894,2.1,6,19
xpln2,27.105263157894736,32.0,2495.0,11.526315789473685,2.1,6,19
top,33.0,41.0,2045.0,8.599999999999998,88.35,6,19
all,21.0,28.0,3040.0,17.699999999999996,0.0,6,20
sway1,29.0,33.75,2256.0,9.485000000000001,4.0,6,20
xpln1,28.65,33.55,2315.0,9.865,4.0,6,20
sway2,26.35,32.6,2465.25,12.145,2.2,6,20
xpln2,27.2,32.05,2486.5,11.440000000000001,2.2,6,20
top,33.0,41.0,2045.0,8.599999999999998,93.0,6,20
