type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
all,21.0,28.0,3040.0,17.7,0.0,10,1
sway1,29.0,33.0,2295.0,10.0,0.2,10,1
xpln1,29.0,33.0,2345.0,10.0,0.2,10,1
sway2,29.0,36.0,2350.0,11.6,0.0,10,1
xpln2,29.0,33.0,2325.0,9.8,0.0,10,1
top,31.0,37.0,2055.0,8.6,4.65,10,1
all,21.0,28.0,3040.0,17.7,0.0,10,2
sway1,29.0,33.0,2295.0,10.0,0.4,10,2
xpln1,29.0,33.0,2345.0,10.0,0.4,10,2
sway2,28.5,36.0,2395.0,10.8,0.0,10,2
xpln2,31.0,35.0,2145.0,9.100000000000001,0.0,10,2
top,31.0,37.0,2055.0,8.6,9.3,10,2
all,21.0,28.0,3040.0,17.7,0.0,10,3
sway1,27.0,32.0,2373.3333333333335,10.366666666666667,0.6,10,3
xpln1,29.0,33.0,2346.6666666666665,10.033333333333333,0.6,10,3
sway2,28.666666666666668,35.0,2361.6666666666665,10.533333333333333,0.0,10,3
xpln2,30.333333333333332,34.333333333333336,2213.3333333333335,9.433333333333335,0.0,10,3
top,31.0,37.0,2055.0,8.6,13.95,10,3
all,21.0,28.0,3040.0,17.7,0.0,10,4
sway1,26.5,31.5,2367.5,10.075,0.8,10,4
xpln1,29.0,33.0,2346.25,10.025,0.8,10,4
sway2,27.75,34.5,2331.25,10.175,0.0,10,4
xpln2,30.0,34.0,2246.25,9.575000000000001,0.0,10,4
top,31.0,37.0,2055.0,8.6,18.6,10,4
all,21.0,28.0,3040.0,17.7,0.0,10,5
sway1,27.4,32.6,2303.0,9.739999999999998,1.0,10,5
xpln1,29.4,33.8,2286.0,9.7,1.0,10,5
sway2,27.2,34.2,2330.0,9.96,0.0,10,5
xpln2,29.8,33.8,2262.0,9.620000000000001,0.0,10,5
top,31.0,37.0,2055.0,8.6,23.25,10,5
all,21.0,28.0,3040.0,17.7,0.0,10,6
sway1,27.0,32.666666666666664,2301.6666666666665,9.633333333333333,1.2,10,6
xpln1,29.333333333333332,33.666666666666664,2295.8333333333335,9.75,1.2,10,6
sway2,26.833333333333332,34.0,2322.5,9.816666666666668,0.0,10,6
xpln2,29.666666666666668,33.666666666666664,2276.6666666666665,9.700000000000001,0.0,10,6
top,31.0,37.0,2055.0,8.6,27.9,10,6
all,21.0,28.0,3040.0,17.7,0.0,10,7
sway1,27.285714285714285,32.714285714285715,2297.1428571428573,9.571428571428571,1.4,10,7
xpln1,28.428571428571427,33.142857142857146,2365.714285714286,10.414285714285715,1.4,10,7
sway2,26.571428571428573,33.57142857142857,2325.714285714286,9.842857142857143,0.0,10,7
xpln2,28.571428571428573,33.142857142857146,2372.8571428571427,11.042857142857144,0.0,10,7
top,31.0,37.0,2055.0,8.6,32.55,10,7
all,21.0,28.0,3040.0,17.7,0.0,10,8
sway1,27.5,32.75,2296.875,9.425,1.6,10,8
xpln1,28.5,33.125,2363.125,10.3625,1.6,10,8
sway2,26.875,33.5,2325.625,9.8625,0.0,10,8
xpln2,28.625,33.125,2366.875,10.887500000000001,0.0,10,8
top,31.0,37.0,2055.0,8.6,37.2,10,8
all,21.0,28.0,3040.0,17.7,0.0,10,9
sway1,27.666666666666668,32.77777777777778,2296.6666666666665,9.333333333333334,1.8,10,9
xpln1,28.555555555555557,33.111111111111114,2361.1111111111113,10.322222222222223,1.8,10,9
sway2,26.77777777777778,33.55555555555556,2321.1111111111113,9.877777777777778,0.0,10,9
xpln2,28.666666666666668,33.111111111111114,2331.1111111111113,10.611111111111112,0.0,10,9
top,31.0,37.0,2055.0,8.6,41.85,10,9
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,10
sway1,28.0,33.2,2291.0,9.3,2.0,10,10
xpln1,28.6,33.1,2359.5,10.290000000000001,2.0,10,10
sway2,27.0,33.9,2321.5,9.89,0.0,10,10
xpln2,28.7,33.1,2330.5,10.530000000000001,0.0,10,10
top,31.0,37.0,2055.0,8.599999999999998,46.5,10,10
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,11
