type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
all,21.0,28.0,3040.0,17.7,0.0,4,1
sway1,29.0,33.0,2240.0,9.8,0.25,4,1
xpln1,29.0,36.0,2285.0,9.8,0.25,4,1
sway2,23.0,29.0,2295.0,11.3,0.1,4,1
xpln2,29.0,33.0,2350.0,10.1,0.1,4,1
top,39.0,43.0,1965.0,8.4,4.65,4,1
all,21.0,28.0,3040.0,17.7,0.0,4,2
sway1,27.0,31.5,2365.0,10.350000000000001,0.5,4,2
xpln1,29.0,34.5,2315.0,9.9,0.5,4,2
sway2,27.0,35.0,2322.5,10.15,0.2,4,2
xpln2,26.0,32.0,2462.5,10.6,0.2,4,2
top,39.0,43.0,1965.0,8.4,9.3,4,2
all,21.0,28.0,3040.0,17.7,0.0,4,3
sway1,27.666666666666668,32.0,2341.6666666666665,10.333333333333334,0.75,4,3
xpln1,30.333333333333332,35.333333333333336,2198.3333333333335,9.4,0.75,4,3
sway2,25.666666666666668,33.333333333333336,2313.3333333333335,10.133333333333333,0.3,4,3
xpln2,27.0,32.333333333333336,2423.3333333333335,10.4,0.3,4,3
top,39.0,43.0,1965.0,8.4,13.95,4,3
all,21.0,28.0,3040.0,17.7,0.0,4,4
sway1,27.25,32.5,2327.5,10.25,1.0,4,4
xpln1,31.0,35.75,2140.0,9.15,1.0,4,4
sway2,25.0,32.5,2367.5,10.125,0.4,4,4
xpln2,27.5,32.5,2403.75,10.3,0.4,4,4
top,39.0,43.0,1965.0,8.4,18.6,4,4
all,21.0,28.0,3040.0,17.7,0.0,4,5
sway1,28.2,33.4,2273.0,10.16,1.25,4,5
xpln1,30.8,35.8,2123.0,9.16,1.25,4,5
sway2,25.8,32.6,2348.0,9.9,0.5,4,5
xpln2,28.0,32.6,2377.0,10.080000000000002,0.5,4,5
top,39.0,43.0,1965.0,8.4,23.25,4,5
all,21.0,28.0,3040.0,17.7,0.0,4,6
sway1,27.666666666666668,33.333333333333336,2267.5,9.983333333333333,1.5,4,6
xpln1,31.0,36.0,2111.6666666666665,9.066666666666666,1.5,4,6
sway2,25.333333333333332,32.0,2348.3333333333335,9.783333333333333,0.6,4,6
xpln2,28.166666666666668,32.666666666666664,2371.6666666666665,10.066666666666668,0.6,4,6
top,39.0,43.0,1965.0,8.4,27.9,4,6
all,21.0,28.0,3040.0,17.7,0.0,4,7
sway1,27.857142857142858,33.285714285714285,2271.4285714285716,10.171428571428573,1.75,4,7
xpln1,30.714285714285715,35.57142857142857,2137.8571428571427,9.057142857142857,1.75,4,7
sway2,25.0,31.714285714285715,2348.5714285714284,9.671428571428573,0.7,4,7
xpln2,27.428571428571427,32.285714285714285,2410.0,10.371428571428572,0.7,4,7
top,39.0,43.0,1965.0,8.4,32.55,4,7
all,21.0,28.0,3040.0,17.7,0.0,4,8
sway1,27.5,32.875,2243.125,9.950000000000001,2.0,4,8
xpln1,30.0,34.875,2181.875,9.2875,2.0,4,8
sway2,24.75,31.375,2341.875,9.875,0.8,4,8
xpln2,27.625,32.375,2402.5,10.4875,0.8,4,8
top,39.0,43.0,1965.0,8.4,37.2,4,8
all,21.0,28.0,3040.0,17.7,0.0,4,9
sway1,27.0,32.55555555555556,2275.0,9.966666666666667,2.25,4,9
xpln1,29.22222222222222,34.333333333333336,2240.5555555555557,9.81111111111111,2.25,4,9
sway2,24.555555555555557,31.22222222222222,2342.777777777778,9.777777777777779,0.9,4,9
xpln2,27.77777777777778,32.44444444444444,2396.6666666666665,10.433333333333334,0.9,4,9
top,39.0,43.0,1965.0,8.4,41.85,4,9
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,10
sway1,27.5,33.0,2244.0,9.83,2.5,4,10
xpln1,29.4,34.6,2221.0,9.67,2.5,4,10
sway2,25.2,32.2,2343.5,9.7,1.0,4,10
xpln2,27.9,32.5,2381.0,10.290000000000001,1.0,4,10
top,39.0,43.0,1965.0,8.400000000000002,46.5,4,10
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,11
sway1,28.545454545454547,33.90909090909091,2194.090909090909,9.700000000000001,2.75,4,11
xpln1,29.636363636363637,34.81818181818182,2197.7272727272725,9.554545454545455,2.75,4,11
sway2,25.0,31.90909090909091,2344.090909090909,9.845454545454546,1.1,4,11
xpln2,27.727272727272727,32.54545454545455,2387.2727272727275,10.345454545454546,1.1,4,11
top,39.0,43.0,1965.0,8.400000000000002,51.15,4,11
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,12
sway1,28.583333333333332,34.166666666666664,2181.6666666666665,9.583333333333334,3.0,4,12
xpln1,29.583333333333332,34.666666666666664,2210.0,9.591666666666667,3.0,4,12
sway2,24.833333333333332,31.666666666666668,2359.5833333333335,9.866666666666665,1.2,4,12
xpln2,27.833333333333332,32.583333333333336,2383.75,10.316666666666668,1.2,4,12
top,39.0,43.0,1965.0,8.400000000000002,55.8,4,12
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,13
sway1,28.615384615384617,34.07692307692308,2186.153846153846,9.546153846153846,3.25,4,13
xpln1,29.307692307692307,34.61538461538461,2191.153846153846,9.515384615384615,3.25,4,13
sway2,25.153846153846153,31.76923076923077,2352.6923076923076,9.815384615384614,1.3,4,13
xpln2,27.923076923076923,32.61538461538461,2380.769230769231,10.292307692307693,1.3,4,13
top,39.0,43.0,1965.0,8.400000000000002,60.45,4,13
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,14
sway1,28.714285714285715,34.214285714285715,2170.3571428571427,9.478571428571428,3.5,4,14
xpln1,29.5,34.785714285714285,2181.4285714285716,9.450000000000001,3.5,4,14
sway2,25.428571428571427,31.857142857142858,2348.5714285714284,9.835714285714285,1.4,4,14
xpln2,28.0,32.857142857142854,2378.214285714286,10.271428571428572,1.4,4,14
top,39.0,43.0,1965.0,8.400000000000002,65.1,4,14
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,15
sway1,28.733333333333334,34.13333333333333,2162.0,9.379999999999999,3.75,4,15
xpln1,29.733333333333334,35.2,2167.0,9.38,3.75,4,15
sway2,25.666666666666668,31.933333333333334,2343.3333333333335,9.793333333333331,1.5,4,15
xpln2,27.533333333333335,32.46666666666667,2417.6666666666665,10.473333333333334,1.5,4,15
top,39.0,43.0,1965.0,8.400000000000002,69.75,4,15
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,16
sway1,28.9375,34.3125,2149.6875,9.31875,4.0,4,16
xpln1,29.4375,35.0625,2186.25,9.475000000000001,4.0,4,16
sway2,25.5,31.8125,2340.3125,9.812499999999998,1.6,4,16
xpln2,27.625,32.6875,2413.125,10.443750000000001,1.6,4,16
top,39.0,43.0,1965.0,8.400000000000002,74.4,4,16
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,17
sway1,28.941176470588236,34.23529411764706,2155.0,9.241176470588234,4.25,4,17
xpln1,29.647058823529413,35.411764705882355,2173.235294117647,9.411764705882355,4.25,4,17
sway2,25.352941176470587,31.705882352941178,2340.8823529411766,9.829411764705881,1.7,4,17
xpln2,27.470588235294116,32.529411764705884,2417.6470588235293,10.494117647058825,1.7,4,17
top,39.0,43.0,1965.0,8.400000000000002,79.05,4,17
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,18
sway1,29.88888888888889,35.111111111111114,2129.4444444444443,9.194444444444445,4.5,4,18
xpln1,29.72222222222222,35.27777777777778,2161.6666666666665,9.355555555555558,4.5,4,18
sway2,25.555555555555557,31.77777777777778,2338.3333333333335,9.794444444444443,1.8,4,18
xpln2,27.555555555555557,32.55555555555556,2413.6111111111113,10.466666666666669,1.8,4,18
top,39.0,43.0,1965.0,8.400000000000002,83.7,4,18
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,19
sway1,29.105263157894736,34.31578947368421,2229.2105263157896,9.58421052631579,4.75,4,19
xpln1,29.05263157894737,34.578947368421055,2244.4736842105262,9.86842105263158,4.75,4,19
sway2,25.736842105263158,31.842105263157894,2334.7368421052633,9.763157894736839,1.9,4,19
xpln2,27.31578947368421,32.421052631578945,2419.7368421052633,10.510526315789477,1.9,4,19
top,39.0,43.0,1965.0,8.400000000000002,88.35,4,19
all,21.0,28.0,3040.0,17.699999999999996,0.0,4,20
sway1,29.6,34.75,2216.0,9.525,5.0,4,20
xpln1,29.05,34.5,2249.5,9.875000000000002,5.0,4,20
sway2,25.6,31.7,2335.5,9.839999999999998,2.0,4,20
xpln2,27.1,32.25,2425.25,10.595000000000002,2.0,4,20
top,39.0,43.0,1965.0,8.400000000000002,93.0,4,20
