type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
all,21.0,28.0,3040.0,17.7,0.0,8,1
sway1,25.0,33.0,2545.0,10.0,0.2,8,1
xpln1,29.0,33.0,2345.0,10.0,0.2,8,1
sway2,29.0,33.0,2295.0,10.3,0.0,8,1
xpln2,29.0,33.0,2345.0,10.0,0.0,8,1
top,32.0,37.0,2045.0,8.4,4.65,8,1
all,21.0,28.0,3040.0,17.7,0.0,8,2
sway1,25.5,33.0,2407.5,9.6,0.4,8,2
xpln1,29.0,33.0,2195.0,9.2,0.4,8,2
sway2,29.0,33.0,2267.5,9.350000000000001,0.0,8,2
xpln2,29.0,33.0,2345.0,10.0,0.0,8,2
top,32.0,37.0,2045.0,8.4,9.3,8,2
all,21.0,28.0,3040.0,17.7,0.0,8,3
sway1,26.666666666666668,33.0,2386.6666666666665,9.733333333333333,0.6,8,3
xpln1,29.0,33.0,2238.3333333333335,9.4,0.6,8,3
sway2,28.666666666666668,34.0,2295.0,10.100000000000001,0.0,8,3
xpln2,29.0,33.0,2338.3333333333335,9.933333333333334,0.0,8,3
top,32.0,37.0,2045.0,8.4,13.95,8,3
all,21.0,28.0,3040.0,17.7,0.0,8,4
sway1,27.25,33.75,2357.5,9.4,0.8,8,4
xpln1,29.0,33.0,2265.0,9.55,0.8,8,4
sway2,28.5,34.5,2307.5,9.725000000000001,0.0,8,4
xpln2,29.0,33.0,2340.0,9.95,0.0,8,4
top,32.0,37.0,2045.0,8.4,18.6,8,4
all,21.0,28.0,3040.0,17.7,0.0,8,5
sway1,27.6,33.6,2297.0,9.36,1.0,8,5
xpln1,29.0,33.0,2281.0,9.64,1.0,8,5
sway2,28.6,34.4,2303.0,9.780000000000001,0.0,8,5
xpln2,29.0,33.0,2337.0,9.919999999999998,0.0,8,5
top,32.0,37.0,2045.0,8.4,23.25,8,5
all,21.0,28.0,3040.0,17.7,0.0,8,6
sway1,27.833333333333332,33.5,2256.6666666666665,9.316666666666666,1.2,8,6
xpln1,29.0,33.0,2288.3333333333335,9.666666666666666,1.2,8,6
sway2,28.666666666666668,34.333333333333336,2300.0,9.583333333333334,0.0,8,6
xpln2,29.0,33.0,2335.0,9.933333333333332,0.0,8,6
top,32.0,37.0,2045.0,8.4,27.9,8,6
all,21.0,28.0,3040.0,17.7,0.0,8,7
sway1,28.285714285714285,33.42857142857143,2197.8571428571427,9.185714285714285,1.4,8,7
xpln1,29.0,33.0,2296.4285714285716,9.714285714285714,1.4,8,7
sway2,28.571428571428573,34.285714285714285,2303.5714285714284,9.642857142857142,0.0,8,7
xpln2,28.0,32.57142857142857,2422.8571428571427,11.242857142857142,0.0,8,7
top,32.0,37.0,2045.0,8.4,32.55,8,7
all,21.0,28.0,3040.0,17.7,0.0,8,8
sway1,28.375,33.375,2234.375,9.4,1.6,8,8
xpln1,29.5,33.5,2255.0,9.55,1.6,8,8
sway2,28.25,34.125,2302.5,9.725,0.0,8,8
xpln2,28.125,32.625,2410.625,11.062499999999998,0.0,8,8
top,32.0,37.0,2045.0,8.4,37.2,8,8
all,21.0,28.0,3040.0,17.7,0.0,8,9
sway1,28.666666666666668,34.22222222222222,2204.4444444444443,9.28888888888889,1.8,8,9
xpln1,29.444444444444443,33.44444444444444,2265.0,9.600000000000001,1.8,8,9
sway2,28.333333333333332,34.0,2307.777777777778,9.788888888888888,0.0,8,9
xpln2,28.22222222222222,32.666666666666664,2401.1111111111113,10.92222222222222,0.0,8,9
top,32.0,37.0,2045.0,8.4,41.85,8,9
all,21.0,28.0,3040.0,17.699999999999996,0.0,8,10
sway1,28.3,34.1,2213.5,9.27,2.0,8,10
xpln1,29.4,33.4,2273.0,9.64,2.0,8,10
sway2,28.4,33.9,2311.5,9.809999999999999,0.0,8,10
xpln2,28.3,32.7,2395.5,10.829999999999998,0.0,8,10
top,32.0,37.0,2045.0,8.400000000000002,46.5,8,10
