type,Cost-,Completion+,Idle-,Avg evals,budget,run
all,320.11,0.9,0.25,0.0,10,1
sway1,208.32,0.87,0.22,8.0,10,1
xpln1,332.28,0.9,0.24,8.0,10,1
sway2,405.93,0.89,0.17,2.0,10,1
xpln2,333.54,0.89,0.25,2.0,10,1
top,138.83,1.0,0.0,1000.0,10,1
all,329.39,0.9,0.235,0.0,10,2
sway1,228.875,0.865,0.11,8.0,10,2
xpln1,317.39,0.9,0.24,8.0,10,2
sway2,374.775,0.9,0.195,2.0,10,2
xpln2,321.69,0.895,0.24,2.0,10,2
top,152.925,1.0,0.0,1000.0,10,2
all,329.0933333333333,0.9,0.22999999999999998,0.0,10,3
sway1,259.55333333333334,0.87,0.1366666666666667,8.0,10,3
xpln1,318.6066666666666,0.9033333333333333,0.23666666666666666,8.0,10,3
sway2,364.5933333333333,0.89,0.19000000000000003,2.0,10,3
xpln2,321.43,0.8933333333333334,0.2333333333333333,2.0,10,3
top,149.29,0.9700000000000001,0.0,1000.0,10,3
