type,Cost-,Completion+,Idle-,Avg evals,budget,run
all,341.29,0.9,0.24,0.0,5,1
sway1,407.93,0.95,0.24,8.0,5,1
xpln1,349.93,0.88,0.27,8.0,5,1
sway2,322.02,0.95,0.21,0.0,5,1
xpln2,345.74,0.9,0.22,0.0,5,1
top,99.31,0.92,0.0,1000.0,5,1
all,336.21000000000004,0.9,0.24,0.0,5,2
sway1,408.52,0.9099999999999999,0.265,8.0,5,2
xpln1,333.37,0.885,0.265,8.0,5,2
sway2,303.56,0.88,0.13,1.0,5,2
xpln2,332.35,0.9,0.24,1.0,5,2
top,122.995,0.9299999999999999,0.0,1000.0,5,2
all,334.09333333333336,0.9,0.24333333333333332,0.0,5,3
sway1,314.32666666666665,0.91,0.24,8.0,5,3
xpln1,326.91,0.8966666666666666,0.3,8.0,5,3
sway2,288.44,0.87,0.16333333333333333,0.6666666666666666,5,3
xpln2,338.69666666666666,0.8966666666666666,0.25,0.6666666666666666,5,3
top,129.33666666666667,0.9533333333333333,0.0,1000.0,5,3
all,331.305,0.8975000000000001,0.2425,0.0,5,4
sway1,303.295,0.915,0.2625,8.0,5,4
xpln1,324.7925,0.9025,0.3175,8.0,5,4
sway2,252.575,0.8274999999999999,0.1225,1.0,5,4
xpln2,334.62,0.8975,0.22,1.0,5,4
top,131.85,0.965,0.0,1000.0,5,4
all,330.832,0.8960000000000001,0.244,0.0,5,5
sway1,280.12800000000004,0.9199999999999999,0.278,8.0,5,5
xpln1,303.66600000000005,0.898,0.3,8.0,5,5
sway2,319.358,0.852,0.172,1.2,5,5
xpln2,353.164,0.898,0.22999999999999998,1.2,5,5
top,138.76799999999997,0.9719999999999999,0.0,1000.0,5,5
all,330.2616666666667,0.8966666666666668,0.245,0.0,5,6
sway1,309.475,0.9149999999999999,0.2316666666666667,8.0,5,6
xpln1,307.97333333333336,0.8983333333333334,0.29,8.0,5,6
sway2,319.55833333333334,0.8583333333333333,0.17666666666666667,1.0,5,6
xpln2,349.18333333333334,0.8966666666666666,0.2333333333333333,1.0,5,6
top,148.18999999999997,0.9766666666666666,0.0,1000.0,5,6
