type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
xpln2,1059.0833333333333,2.9166666666666665,3.0,4.75,17998.666666666668,3.0,5,12
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,12
all,1037.923076923077,3.0,3.0,5.153846153846154,19279.53846153846,0.0,5,13
sway1,1164.1538461538462,2.923076923076923,2.769230769230769,3.8461538461538463,18850.846153846152,6.0,5,13
xpln1,1046.076923076923,2.923076923076923,3.0,4.615384615384615,21402.846153846152,6.0,5,13
sway2,1460.1538461538462,2.230769230769231,2.5384615384615383,3.6153846153846154,48050.846153846156,3.0,5,13
xpln2,1059.2307692307693,2.923076923076923,3.0,4.6923076923076925,18135.846153846152,3.0,5,13
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,13
all,1039.5714285714287,3.0,3.0,5.142857142857143,19298.714285714286,0.0,5,14
sway1,1162.642857142857,2.9285714285714284,2.857142857142857,3.857142857142857,18460.428571428572,6.0,5,14
xpln1,1050.5714285714287,2.9285714285714284,3.0,4.571428571428571,21155.0,6.0,5,14
sway2,1450.857142857143,2.2142857142857144,2.5,4.214285714285714,49878.5,3.0,5,14
xpln2,1060.142857142857,2.9285714285714284,3.0,4.785714285714286,18670.714285714286,3.0,5,14
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,14
all,1042.1333333333334,3.0,3.0,5.133333333333334,19250.6,0.0,5,15
sway1,1169.2,3.0,2.8,3.7333333333333334,19036.133333333335,6.0,5,15
xpln1,1051.7333333333333,2.933333333333333,3.0,4.666666666666667,21033.8,6.0,5,15
sway2,1427.8,2.2,2.533333333333333,4.066666666666666,48250.53333333333,3.0,5,15
xpln2,1064.7333333333333,2.933333333333333,3.0,5.4,19241.666666666668,3.0,5,15
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,15
