type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
xpln1,1061.0714285714287,2.9285714285714284,3.0,4.785714285714286,19619.14285714286,6.071428571428571,5,14
sway2,1037.0,2.0,1.0,4.0,24987.0,2.9285714285714284,5,14
xpln2,1043.2142857142858,3.0,3.0,4.714285714285714,20309.5,2.9285714285714284,5,14
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,14
all,1065.6,3.0,3.0,5.066666666666666,19477.933333333334,0.0,5,15
sway1,1458.2666666666667,2.066666666666667,1.6,3.6666666666666665,25689.0,6.066666666666666,5,15
xpln1,1059.7333333333333,2.933333333333333,3.0,4.666666666666667,19336.066666666666,6.066666666666666,5,15
sway2,1037.0,2.0,1.0,4.0,24987.0,2.933333333333333,5,15
xpln2,1049.8666666666666,3.0,3.0,4.666666666666667,20394.733333333334,2.933333333333333,5,15
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,15
all,1067.125,3.0,3.0,5.125,19421.625,0.0,5,16
sway1,1456.0,2.0625,1.5625,3.4375,26419.0,6.0625,5,16
xpln1,1061.75,2.9375,3.0,4.75,19611.4375,6.0625,5,16
sway2,1037.0,2.0,1.0,4.0,24987.0,2.9375,5,16
xpln2,1046.6875,3.0,3.0,4.6875,20549.0,2.9375,5,16
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,16
