type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
all,1013.0,3.0,3.0,5.0,19548.0,0.0,10,1
sway1,867.0,1.0,3.0,4.0,19002.0,6.0,10,1
xpln1,1037.0,3.0,3.0,5.0,18104.0,6.0,10,1
sway2,1133.0,3.0,3.0,2.0,33906.0,0.0,10,1
xpln2,1291.0,3.0,2.0,4.0,19664.0,0.0,10,1
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,1
all,1055.5,3.0,3.0,5.0,19301.5,0.0,10,2
sway1,869.0,1.5,3.0,3.5,20932.5,6.0,10,2
xpln1,1064.0,2.5,3.5,5.0,21791.5,6.0,10,2
sway2,1083.5,3.0,2.5,2.5,22541.5,0.0,10,2
xpln2,1157.0,3.0,2.5,6.0,21606.0,0.0,10,2
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,2
all,1050.6666666666667,3.0,3.0,5.0,19347.0,0.0,10,3
sway1,1052.6666666666667,2.3333333333333335,3.0,2.6666666666666665,16061.666666666666,6.0,10,3
xpln1,1062.6666666666667,2.6666666666666665,3.3333333333333335,4.333333333333333,19988.666666666668,6.0,10,3
sway2,1045.3333333333333,3.0,2.6666666666666665,2.6666666666666665,21621.666666666668,0.0,10,3
xpln2,1113.3333333333333,3.0,2.6666666666666665,6.333333333333333,21920.666666666668,0.0,10,3
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,3
all,1052.25,3.0,3.0,5.0,19089.0,0.0,10,4
sway1,1039.25,2.5,3.0,2.25,14402.0,6.0,10,4
xpln1,1052.75,2.75,3.25,5.25,20878.5,6.0,10,4
sway2,1053.5,3.25,2.5,3.0,19339.5,0.0,10,4
xpln2,1098.0,3.0,2.75,5.75,20919.25,0.0,10,4
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,4
all,1054.4,3.0,3.0,5.0,19082.0,0.0,10,5
sway1,1046.0,2.6,3.0,2.2,15974.6,6.0,10,5
xpln1,1049.6,2.8,3.2,5.4,20920.8,6.0,10,5
sway2,1070.4,3.2,2.8,2.8,19993.6,0.0,10,5
xpln2,1096.6,3.0,2.8,5.6,20252.2,0.0,10,5
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,5
all,1059.0,3.0,3.0,5.0,19113.666666666668,0.0,10,6
sway1,967.1666666666666,2.6666666666666665,3.1666666666666665,2.3333333333333335,14392.333333333334,6.0,10,6
xpln1,1048.1666666666667,2.8333333333333335,3.1666666666666665,5.333333333333333,20142.333333333332,6.0,10,6
sway2,984.5,3.0,3.0,2.8333333333333335,18204.166666666668,0.0,10,6
xpln2,1104.3333333333333,3.0,2.8333333333333335,5.333333333333333,20474.833333333332,0.0,10,6
