type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,6
all,1056.4285714285713,3.0,3.0,5.0,19116.285714285714,0.0,10,7
sway1,991.2857142857143,2.5714285714285716,3.142857142857143,2.4285714285714284,13658.714285714286,6.0,10,7
xpln1,1049.857142857143,2.857142857142857,3.142857142857143,5.0,19605.285714285714,6.0,10,7
sway2,1060.4285714285713,2.857142857142857,3.0,3.2857142857142856,21831.14285714286,0.0,10,7
xpln2,1096.857142857143,3.0,2.857142857142857,5.142857142857143,20109.14285714286,0.0,10,7
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,7
all,1059.375,3.0,3.0,5.0,19065.625,0.0,10,8
sway1,978.0,2.625,3.0,2.375,14087.0,6.0,10,8
xpln1,1048.75,2.875,3.125,5.125,19370.375,6.0,10,8
sway2,1053.25,2.875,3.125,3.625,21792.5,0.0,10,8
xpln2,1089.875,3.0,2.875,5.0,19858.75,0.0,10,8
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,8
all,1055.3333333333333,3.0,3.0,5.0,19212.444444444445,0.0,10,9
sway1,996.5555555555555,2.6666666666666665,3.0,2.3333333333333335,15822.666666666666,6.0,10,9
xpln1,1033.2222222222222,2.888888888888889,3.111111111111111,5.0,18669.555555555555,6.0,10,9
sway2,1055.3333333333333,2.888888888888889,3.0,3.5555555555555554,21335.222222222223,0.0,10,9
xpln2,1097.6666666666667,3.0,2.888888888888889,4.888888888888889,18699.222222222223,0.0,10,9
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,9
all,1053.5,3.0,3.0,5.0,19299.7,0.0,10,10
sway1,1005.0,2.7,2.9,2.1,14822.4,6.0,10,10
xpln1,1029.4,2.9,3.1,4.9,17920.3,6.0,10,10
sway2,1020.6,2.8,3.0,3.6,20372.2,0.0,10,10
xpln2,1095.6,3.0,2.9,4.7,18805.7,0.0,10,10
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,10
all,1055.909090909091,3.0,3.0,5.0,19446.545454545456,0.0,10,11
sway1,1006.6363636363636,2.727272727272727,2.727272727272727,2.909090909090909,15226.90909090909,6.0,10,11
xpln1,1030.4545454545455,2.909090909090909,3.090909090909091,4.818181818181818,17937.18181818182,6.0,10,11
sway2,1021.7272727272727,2.727272727272727,3.090909090909091,3.727272727272727,20476.727272727272,0.0,10,11
xpln2,1090.2727272727273,3.0,2.909090909090909,4.7272727272727275,18725.272727272728,0.0,10,11
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,11
all,1055.25,3.0,3.0,5.0,19478.583333333332,0.0,10,12
sway1,1006.0,2.6666666666666665,2.75,2.75,14889.166666666666,6.0,10,12
xpln1,1039.8333333333333,2.9166666666666665,3.0833333333333335,4.75,18252.916666666668,6.0,10,12
sway2,1013.25,2.75,3.0833333333333335,3.5833333333333335,19745.75,0.0,10,12
xpln2,1058.5,2.9166666666666665,2.9166666666666665,4.75,18203.583333333332,0.0,10,12
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,12
all,1057.2307692307693,3.0,3.0,5.0,19467.69230769231,0.0,10,13
sway1,958.8461538461538,2.6153846153846154,2.769230769230769,2.923076923076923,14239.846153846154,6.0,10,13
xpln1,1051.6923076923076,2.923076923076923,3.076923076923077,4.769230769230769,18466.30769230769,6.0,10,13
sway2,1010.3846153846154,2.769230769230769,3.0,3.3846153846153846,19296.923076923078,0.0,10,13
xpln2,1056.4615384615386,2.923076923076923,2.923076923076923,4.769230769230769,18199.53846153846,0.0,10,13
top,1673.0,2.0,1.0,1.0,27666.0,1000.0,10,13
