type,N_effort-,Avg evals,budget,run
all,2098,0,6,1
sway1,201,6,6,1
xpln1,212,6,6,1
sway2,472,2,6,1
xpln2,1278,2,6,1
top,107,499,6,1
all,2098,0,6,2
sway1,224,6,6,2
xpln1,349,6,6,2
sway2,358,2,6,2
xpln2,909,2,6,2
top,107,499,6,2
all,2098,0,6,3
sway1,325.3333333,6,6,3
xpln1,618.6666667,6,6,3
sway2,401,2,6,3
xpln2,984.6666667,2,6,3
top,107,499,6,3
all,2098,0,6,4
sway1,361.75,6,6,4
xpln1,618.75,6,6,4
sway2,374.75,2,6,4
xpln2,910.25,2,6,4
top,107,499,6,4
all,2098,0,6,5
sway1,331.8,6,6,5
xpln1,585,6,6,5
sway2,400.2,2,6,5
xpln2,1011.6,2,6,5
top,107,499,6,5
all,2098,0,6,6
sway1,348.3333333,6,6,6
xpln1,600.3333333,6,6,6
sway2,439.1666667,2,6,6
xpln2,1053.833333,2,6,6
top,107,499,6,6
all,2098,0,6,7
sway1,368.1428571,6,6,7
xpln1,578.8571429,6,6,7
sway2,453.5714286,2,6,7
xpln2,998.7142857,2,6,7
top,107,499,6,7
all,2098,0,6,8
sway1,388.125,6,6,8
xpln1,559,6,6,8
sway2,450.75,2,6,8
xpln2,1053.875,2,6,8
top,107,499,6,8
all,2098,0,6,9
sway1,682.4444444,6,6,9
xpln1,989.1111111,6,6,9
sway2,466.7777778,2,6,9
xpln2,986.7777778,2,6,9
top,107,499,6,9
all,2098,0,6,10
sway1,703.5,6,6,10
xpln1,955.9,6,6,10
sway2,449.7,2,6,10
xpln2,1024.3,2,6,10
top,107,499,6,10
all,2098,0,6,11
sway1,692.2727273,6,6,11
xpln1,978.1818182,6,6,11
sway2,454.2727273,2,6,11
xpln2,972.0909091,2,6,11
top,107,499,6,11
all,2098,0,6,12
sway1,693.25,6,6,12
xpln1,945.1666667,6,6,12
sway2,478.3333333,2,6,12
xpln2,994.5,2,6,12
top,107,499,6,12
all,2098,0,6,13
sway1,710.6923077,6,6,13
xpln1,982.3846154,6,6,13
sway2,457,2,6,13
xpln2,997.6153846,2,6,13
top,107,499,6,13
all,2098,0,6,14
sway1,681.3571429,6,6,14
xpln1,949.7142857,6,6,14
sway2,462.9285714,2,6,14
xpln2,976.4285714,2,6,14
top,107,499,6,14
all,2098,0,6,15
sway1,662.2666667,6,6,15
xpln1,930.2,6,6,15
sway2,462.1333333,2,6,15
xpln2,941.3333333,2,6,15
top,107,499,6,15
all,2098,0,6,16
sway1,639.375,6,6,16
xpln1,939.125,6,6,16
sway2,467.8125,2,6,16
xpln2,922.125,2,6,16
top,107,499,6,16
all,2098,0,6,17
sway1,670.4117647,6,6,17
xpln1,921.1764706,6,6,17
sway2,468.0588235,2,6,17
xpln2,904.2941176,2,6,17
top,107,499,6,17
all,2098,0,6,18
sway1,650.0555556,6,6,18
xpln1,900.7222222,6,6,18
sway2,458.9444444,2,6,18
xpln2,886.3888889,2,6,18
top,107,499,6,18
all,2098,0,6,19
sway1,628.5263158,6,6,19
xpln1,861.9473684,6,6,19
sway2,463.8947368,2,6,19
xpln2,906.3157895,2,6,19
top,107,499,6,19
all,2098,0,6,20
sway1,628.5263158,6,6,20
xpln1,861.9473684,6,6,20
sway2,463.8947368,2,6,20
xpln2,906.3157895,2,6,20
top,107,499,6,20
