type,N_effort-,Avg evals,budget,run
all,2098.0,0.0,4,1
sway1,201.0,0.3,4,1
xpln1,657.0,0.3,4,1
sway2,293.0,0.1,4,1
xpln2,1073.0,0.1,4,1
top,96.0,24.95,4,1
all,2098.0,0.0,4,2
sway1,317.5,0.6,4,2
xpln1,775.0,0.6,4,2
sway2,235.5,0.2,4,2
xpln2,658.5,0.2,4,2
top,96.0,49.9,4,2
all,2098.0,0.0,4,3
sway1,712.0,0.9,4,3
xpln1,1993.3333333333333,0.9,4,3
sway2,297.0,0.3,4,3
xpln2,881.3333333333334,0.3,4,3
top,96.0,74.85,4,3
all,2098.0,0.0,4,4
sway1,595.0,1.2,4,4
xpln1,1659.25,1.2,4,4
sway2,284.5,0.4,4,4
xpln2,1001.5,0.4,4,4
top,96.0,99.8,4,4
all,2098.0,0.0,4,5
sway1,533.0,1.5,4,5
xpln1,1415.8,1.5,4,5
sway2,364.0,0.5,4,5
xpln2,988.6,0.5,4,5
top,96.0,124.75,4,5
all,2098.0,0.0,4,6
sway1,471.5,1.8,4,6
xpln1,1216.5,1.8,4,6
sway2,343.5,0.6,4,6
xpln2,947.6666666666666,0.6,4,6
top,96.0,149.7,4,6
all,2098.0,0.0,4,7
sway1,484.57142857142856,2.1,4,7
xpln1,1085.5714285714287,2.1,4,7
sway2,392.57142857142856,0.7,4,7
xpln2,912.0,0.7,4,7
top,96.0,174.65,4,7
all,2098.0,0.0,4,8
sway1,471.5,2.4,4,8
xpln1,1037.375,2.4,4,8
sway2,404.375,0.8,4,8
xpln2,872.375,0.8,4,8
top,96.0,199.6,4,8
all,2098.0,0.0,4,9
sway1,493.22222222222223,2.7,4,9
xpln1,966.4444444444445,2.7,4,9
sway2,393.22222222222223,0.9,4,9
xpln2,845.8888888888889,0.9,4,9
top,96.0,224.55,4,9
all,2098.0,0.0,4,10
sway1,468.3,3.0,4,10
xpln1,891.0,3.0,4,10
sway2,397.9,1.0,4,10
xpln2,854.8,1.0,4,10
top,96.0,249.5,4,10
all,2098.0,0.0,4,11
sway1,452.6363636363636,3.3,4,11
xpln1,850.9090909090909,3.3,4,11
sway2,399.90909090909093,1.1,4,11
xpln2,822.7272727272727,1.1,4,11
top,96.0,274.45,4,11
all,2098.0,0.0,4,12
sway1,432.5833333333333,3.6,4,12
xpln1,817.5,3.6,4,12
sway2,407.75,1.2,4,12
xpln2,857.3333333333334,1.2,4,12
top,96.0,299.4,4,12
all,2098.0,0.0,4,13
sway1,434.0,3.9,4,13
xpln1,796.6923076923077,3.9,4,13
sway2,383.7692307692308,1.3,4,13
xpln2,826.0,1.3,4,13
top,96.0,324.35,4,13
all,2098.0,0.0,4,14
sway1,423.35714285714283,4.2,4,14
xpln1,921.2142857142857,4.2,4,14
sway2,407.5,1.4,4,14
xpln2,878.2857142857143,1.4,4,14
top,96.0,349.3,4,14
all,2098.0,0.0,4,15
sway1,421.93333333333334,4.5,4,15
xpln1,878.5333333333333,4.5,4,15
sway2,396.4,1.5,4,15
xpln2,911.6666666666666,1.5,4,15
top,96.0,374.25,4,15
all,2098.0,0.0,4,16
sway1,402.25,4.8,4,16
xpln1,836.1875,4.8,4,16
sway2,393.125,1.6,4,16
xpln2,914.0,1.6,4,16
top,96.0,399.2,4,16
all,2098.0,0.0,4,17
sway1,400.94117647058823,5.1,4,17
xpln1,827.5882352941177,5.1,4,17
sway2,402.0,1.7,4,17
xpln2,940.3529411764706,1.7,4,17
top,96.0,424.15,4,17
all,2098.0,0.0,4,18
sway1,431.44444444444446,5.4,4,18
xpln1,1107.388888888889,5.4,4,18
sway2,396.1111111111111,1.8,4,18
xpln2,917.2777777777778,1.8,4,18
top,96.0,449.1,4,18
all,2098.0,0.0,4,19
sway1,418.7368421052632,5.7,4,19
xpln1,1077.7368421052631,5.7,4,19
sway2,447.4736842105263,1.9,4,19
xpln2,918.9473684210526,1.9,4,19
top,96.0,474.05,4,19
all,2098.0,0.0,4,20
sway1,411.85,6.0,4,20
xpln1,1033.4,6.0,4,20
sway2,442.35,2.0,4,20
xpln2,931.35,2.0,4,20
top,96.0,499.0,4,20
