type,N_effort-,Avg evals,budget,run
all,2098.0,0.0,10,1
sway1,212.0,6.0,10,1
xpln1,657.0,6.0,10,1
sway2,487.0,0.0,10,1
xpln2,667.0,0.0,10,1
top,140.0,499.0,10,1
all,2098.0,0.0,10,2
sway1,426.0,6.0,10,2
xpln1,1418.0,6.0,10,2
sway2,469.0,0.0,10,2
xpln2,676.5,0.0,10,2
top,140.0,499.0,10,2
all,2098.0,0.0,10,3
sway1,384.0,6.0,10,3
xpln1,1126.6666666666667,6.0,10,3
sway2,541.6666666666666,0.0,10,3
xpln2,683.6666666666666,0.0,10,3
top,140.0,499.0,10,3
all,2098.0,0.0,10,4
sway1,364.0,6.0,10,4
xpln1,1136.75,6.0,10,4
sway2,524.25,0.0,10,4
xpln2,664.25,0.0,10,4
top,140.0,499.0,10,4
all,2098.0,0.0,10,5
sway1,515.0,6.0,10,5
xpln1,1225.8,6.0,10,5
sway2,564.2,0.0,10,5
xpln2,652.6,0.0,10,5
top,140.0,499.0,10,5
all,2098.0,0.0,10,6
sway1,464.5,6.0,10,6
xpln1,1059.0,6.0,10,6
sway2,548.8333333333334,0.0,10,6
xpln2,658.3333333333334,0.0,10,6
top,140.0,499.0,10,6
all,2098.0,0.0,10,7
sway1,428.42857142857144,6.0,10,7
xpln1,985.4285714285714,6.0,10,7
sway2,534.7142857142857,0.0,10,7
xpln2,659.7142857142857,0.0,10,7
top,140.0,499.0,10,7
all,2098.0,0.0,10,8
sway1,692.375,6.0,10,8
xpln1,1416.0,6.0,10,8
sway2,537.0,0.0,10,8
xpln2,646.375,0.0,10,8
top,140.0,499.0,10,8
all,2098.0,0.0,10,9
sway1,695.8888888888889,6.0,10,9
xpln1,1357.888888888889,6.0,10,9
sway2,531.4444444444445,0.0,10,9
xpln2,650.7777777777778,0.0,10,9
top,140.0,499.0,10,9
all,2098.0,0.0,10,10
sway1,1048.3,6.0,10,10
xpln1,1686.3,6.0,10,10
sway2,520.3,0.0,10,10
xpln2,654.3,0.0,10,10
top,140.0,499.0,10,10
all,2098.0,0.0,10,11
sway1,974.9090909090909,6.0,10,11
xpln1,1588.0,6.0,10,11
sway2,516.2727272727273,0.0,10,11
xpln2,644.5454545454545,0.0,10,11
top,140.0,499.0,10,11
all,2098.0,0.0,10,12
sway1,918.6666666666666,6.0,10,12
xpln1,1506.0833333333333,6.0,10,12
sway2,503.8333333333333,0.0,10,12
xpln2,631.4166666666666,0.0,10,12
top,140.0,499.0,10,12
all,2098.0,0.0,10,13
sway1,887.3846153846154,6.0,10,13
xpln1,1590.0,6.0,10,13
sway2,502.46153846153845,0.0,10,13
xpln2,635.6153846153846,0.0,10,13
top,140.0,499.0,10,13
all,2098.0,0.0,10,14
sway1,845.4285714285714,6.0,10,14
xpln1,1515.2857142857142,6.0,10,14
sway2,501.2857142857143,0.0,10,14
xpln2,629.2857142857143,0.0,10,14
top,140.0,499.0,10,14
all,2098.0,0.0,10,15
sway1,803.2,6.0,10,15
xpln1,1450.5333333333333,6.0,10,15
sway2,501.3333333333333,0.0,10,15
xpln2,627.7333333333333,0.0,10,15
top,140.0,499.0,10,15
all,2098.0,0.0,10,16
sway1,766.25,6.0,10,16
xpln1,1394.875,6.0,10,16
sway2,485.75,0.0,10,16
xpln2,619.375,0.0,10,16
top,140.0,499.0,10,16
all,2098.0,0.0,10,17
sway1,735.5294117647059,6.0,10,17
xpln1,1351.9411764705883,6.0,10,17
sway2,481.3529411764706,0.0,10,17
xpln2,623.3529411764706,0.0,10,17
top,140.0,499.0,10,17
all,2098.0,0.0,10,18
sway1,705.2222222222222,6.0,10,18
xpln1,1288.611111111111,6.0,10,18
sway2,479.05555555555554,0.0,10,18
xpln2,619.1111111111111,0.0,10,18
top,140.0,499.0,10,18
all,2098.0,0.0,10,19
sway1,691.2631578947369,6.0,10,19
xpln1,1281.7368421052631,6.0,10,19
sway2,475.94736842105266,0.0,10,19
xpln2,615.3157894736842,0.0,10,19
top,140.0,499.0,10,19
all,2098.0,0.0,10,20
sway1,683.1,6.0,10,20
xpln1,1405.05,6.0,10,20
sway2,476.85,0.0,10,20
xpln2,609.65,0.0,10,20
top,140.0,499.0,10,20
